StateTerr,HAI,Year,State_NHSN_Mandate,FAC_TYPE,Num_Facilities_Reporting,Observed_Infections,Predicted_Infections,Standardized_Infection_Ratio,Facilities_Atleast_1_Predicted_HAI,PCT_Hospitals_SIR_Greater_Than_National_SIR
New Mexico,MRSA,2018,,REHAB,8,0,1.18,0,0,
Nevada,MRSA,2018,,REHAB,13,0,2.586,0,0,
New York,MRSA,2018,,REHAB,54,7,7.667,0.913,0,
Ohio,MRSA,2018,,REHAB,47,4,6.846,0.584,0,
Oklahoma,MRSA,2018,,REHAB,22,6,2.367,2.535,0,
Oregon,MRSA,2018,,REHAB,8,0,0.651,,0,
Pennsylvania,MRSA,2018,,REHAB,76,13,12.622,1.03,0,
Puerto Rico,MRSA,2018,,REHAB,6,0,0.636,,0,
Rhode Island,MRSA,2018,,REHAB,5,0,0.384,,0,
South Carolina,MRSA,2018,,REHAB,22,3,3.417,0.878,0,
South Dakota,MRSA,2018,,REHAB,3,,,,,
Tennessee,MRSA,2018,,REHAB,32,8,4.821,1.659,0,
Texas,MRSA,2018,,REHAB,143,20,21.333,0.938,0,
Utah,MRSA,2018,,REHAB,11,1,1.222,0.818,0,
Virginia,MRSA,2018,,REHAB,27,6,4.192,1.431,0,
Virgin Islands,MRSA,2018,,REHAB,0,,,,,
Vermont,MRSA,2018,,REHAB,2,,,,,
Washington,MRSA,2018,,REHAB,15,0,1.526,0,0,
Wisconsin,MRSA,2018,,REHAB,22,2,1.688,1.185,0,
West Virginia,MRSA,2018,,REHAB,8,2,1.554,1.287,0,
Wyoming,MRSA,2018,,REHAB,2,,,,,
National,MRSA,2018,,REHAB,1150,160,172.146,0.929,1,
Alaska,VAE,2015,No,General,5,22,23.86726713,0.922,3,
Alabama,VAE,2015,No,General,31,412,322.926574,1.276,19,26
Arkansas,VAE,2015,No,General,16,46,124.1120437,0.371,11,9
Arizona,VAE,2015,No,General,29,493,348.144304,1.416,18,44
California,VAE,2015,No,General,156,1347,1735.811773,0.776,138,14
Colorado,VAE,2015,No,General,29,365,265.8096121,1.373,17,35
Connecticut,VAE,2015,No,General,13,260,151.5050648,1.716,11,27
District of Columbia,VAE,2015,No,General,3,,,,,
Delaware,VAE,2015,No,General,3,,,,,
Florida,VAE,2015,No,General,110,1526,1525.59398,1,96,20
Georgia,VAE,2015,No,General,65,975,924.5192187,1.055,54,22
Guam,VAE,2015,No,General,0,,,,,
Hawaii,VAE,2015,No,General,5,6,25.94114344,0.231,5,
Iowa,VAE,2015,No,General,10,83,33.06683385,2.51,6,
Idaho,VAE,2015,No,General,7,57,49.62220034,1.149,6,
Illinois,VAE,2015,No,General,53,410,429.169245,0.955,42,7
Indiana,VAE,2015,No,General,58,741,720.6671021,1.028,42,17
Kansas,VAE,2015,No,General,27,223,157.2582464,1.418,14,21
Kentucky,VAE,2015,No,General,41,290,223.9846922,1.295,22,23
Louisiana,VAE,2015,No,General,29,119,165.8110329,0.718,16,0
Massachusetts,VAE,2015,No,General,20,554,390.6680738,1.418,15,20
Maryland,VAE,2015,No,General,26,251,278.3408727,0.902,24,17
Maine,VAE,2015,No,General,7,50,38.8611191,1.287,6,
Michigan,VAE,2015,No,General,62,1161,956.7643347,1.213,44,32
Minnesota,VAE,2015,No,General,7,164,114.8004578,1.429,4,
Missouri,VAE,2015,No,General,31,300,273.4456136,1.097,22,23
Mississippi,VAE,2015,No,General,24,65,115.0958514,0.565,16,0
Montana,VAE,2015,No,General,5,52,31.7740936,1.637,4,
North Carolina,VAE,2015,No,General,37,549,378.2441717,1.451,24,25
North Dakota,VAE,2015,No,General,2,,,,,
Nebraska,VAE,2015,No,General,7,168,92.44118449,1.817,5,
New Hampshire,VAE,2015,No,General,8,22,28.4186066,0.774,6,
New Jersey,VAE,2015,No,General,45,617,745.844605,0.827,45,13
New Mexico,VAE,2015,No,General,17,235,122.4274273,1.92,8,
Nevada,VAE,2015,No,General,19,309,417.2343758,0.741,15,13
New York,VAE,2015,No,General,117,1232,1813.676623,0.679,103,11
Ohio,VAE,2015,No,General,67,1229,960.1558405,1.28,57,26
Oklahoma,VAE,2015,No,General,33,287,379.3849307,0.756,21,0
Oregon,VAE,2015,No,General,21,144,139.116304,1.035,15,20
Pennsylvania,VAE,2015,Yes,General,139,2045,2210.500221,0.925,107,19
Puerto Rico,VAE,2015,No,General,6,19,44.10615363,0.431,6,
Rhode Island,VAE,2015,No,General,6,39,32.1719672,1.212,6,
South Carolina,VAE,2015,Yes,General,53,862,700.5955294,1.23,36,31
South Dakota,VAE,2015,No,General,5,28,17.30055396,1.618,1,
Tennessee,VAE,2015,No,General,51,672,612.7008092,1.097,32,25
Texas,VAE,2015,No,General,126,1119,1529.435385,0.732,97,8
Utah,VAE,2015,No,General,8,30,20.40155797,1.47,4,
Virginia,VAE,2015,No,General,62,730,755.6101622,0.966,47,15
Virgin Islands,VAE,2015,Yes,General,1,,,,,
Vermont,VAE,2015,No,General,0,,,,,
Washington,VAE,2015,No,General,26,174,193.3834539,0.9,22,18
Wisconsin,VAE,2015,No,General,48,459,284.4762557,1.613,31,35
West Virginia,VAE,2015,No,General,15,163,228.9495278,0.712,9,
Wyoming,VAE,2015,No,General,5,4,6.345634257,0.63,1,
National,VAE,2015,,General,1796,21318,21330.661,0.999,1362,19
Alaska,HYST,2016,Yes,General,7,0,2.942600625,0,1,
Alabama,CDI,2016,No,LTAC,8,36,64.399,0.56,8,
Arkansas,HYST,2016,Yes,General,39,11,20.75419447,0.53,6,
Arizona,HYST,2016,No,General,51,45,40.22980869,1.12,15,0
California,HYST,2016,Yes,General,295,143,167.4266316,0.85,58,5
Colorado,HYST,2016,Yes,General,46,34,34.18332453,1,13,8
Connecticut,HYST,2016,Yes,General,29,25,26.46606501,0.95,8,
District of Columbia,HYST,2016,Midyear Implementation,General,7,0,6.942985031,0,2,
Delaware,HYST,2016,,General,7,8,4.43575943,1.8,1,
Florida,HYST,2016,No,General,179,119,130.3208163,0.91,45,4
Georgia,HYST,2016,Yes,General,84,74,79.56229757,0.93,28,0
Guam,HYST,2016,No,General,0,,,,,
Hawaii,HYST,2016,Yes,General,11,4,4.219119457,0.95,2,
Iowa,HYST,2016,No,General,31,14,20.05023219,0.7,4,
Idaho,HYST,2016,No,General,12,4,5.889890744,0.68,3,
Illinois,HYST,2016,Yes,General,122,60,82.68820959,0.73,26,4
Indiana,HYST,2016,Yes,General,74,33,39.36402162,0.84,10,0
Kansas,HYST,2016,No,General,39,9,20.25941496,0.44,5,
Kentucky,HYST,2016,Yes,General,58,40,34.8785706,1.15,9,
Louisiana,HYST,2016,No,General,68,30,33.10058773,0.91,11,9
Massachusetts,HYST,2016,Yes,General,52,37,31.33599949,1.18,8,
Maryland,HYST,2016,Yes,General,42,29,37.28198428,0.78,10,0
Maine,HYST,2016,No,General,16,3,6.911431086,0.43,1,
Michigan,HYST,2016,No,General,81,62,69.92510038,0.89,30,7
Minnesota,HYST,2016,Yes,General,50,30,27.914481,1.08,9,
Missouri,HYST,2016,,General,62,41,46.02425903,0.89,13,15
Mississippi,HYST,2016,Yes,General,42,33,21.98197715,1.5,7,
Montana,HYST,2016,No,General,12,1,4.239206903,0.24,1,
North Carolina,HYST,2016,Yes,General,85,49,67.04737251,0.73,19,0
North Dakota,HYST,2016,No,General,6,3,3.798426101,0.79,1,
Nebraska,HYST,2016,No,General,21,15,12.75553462,1.18,5,
New Hampshire,HYST,2016,Yes,General,13,1,6.991336455,0.14,1,
New Jersey,HYST,2016,Yes,General,60,26,50.51126729,0.52,17,0
New Mexico,HYST,2016,No,General,25,9,10.0842233,0.89,3,
Nevada,HYST,2016,No,General,17,15,11.07565672,1.35,5,
New York,HYST,2016,,General,150,128,128.3646517,1,44,16
Ohio,HYST,2016,No,General,120,79,89.26940197,0.89,27,7
Oklahoma,HYST,2016,Yes,General,60,12,27.12831642,0.44,6,
Oregon,HYST,2016,Yes,General,33,11,19.69137637,0.56,7,
Pennsylvania,HYST,2016,Yes,General,134,98,91.40923096,1.07,25,8
Puerto Rico,HYST,2016,No,General,0,,,,,
Rhode Island,HYST,2016,No,General,10,13,8.08773029,1.61,2,
South Carolina,HYST,2016,Yes,General,53,34,35.78746576,0.95,13,0
South Dakota,HYST,2016,No,General,16,12,6.919513198,1.73,2,
Tennessee,HYST,2016,Yes,General,81,62,58.15675919,1.07,15,7
Texas,HYST,2016,Yes,General,276,113,188.284093,0.6,58,2
Utah,HYST,2016,Yes,General,30,25,17.62281295,1.42,6,
Virginia,HYST,2016,Yes,General,65,53,50.92638568,1.04,14,7
Virgin Islands,HYST,2016,,General,2,,,,,
Vermont,HYST,2016,Yes,General,6,6,2.638153355,2.27,1,
Washington,HYST,2016,Yes,General,48,21,33.35650798,0.63,8,
Wisconsin,HYST,2016,No,General,65,28,32.25009865,0.87,9,
West Virginia,HYST,2016,Yes,General,26,23,13.96502521,1.65,5,
Wyoming,HYST,2016,No,General,10,1,1.816802101,0.55,0,
Alaska,COLON,2016,Yes,General,7,4,15.28868343,0.26,5,
Alabama,CDI,2016,No,General,84,1227,1970.036,0.62,68,3
Alabama,CLABSI,2016,Yes,General,77,564,503.34,1.12,36,31
Alaska,CLABSI,2016,Yes,General,9,28,32.34,0.87,5,
Arizona,CLABSI,2016,No,General,66,420,550.3,0.76,44,5
Arkansas,CLABSI,2016,Yes,General,49,291,292.56,1,25,4
California,CLABSI,2016,Yes,General,333,2582,2735.12,0.94,269,9
Maine,CAUTI,2016,No,LTAC,0,,,,,
Colorado,CLABSI,2016,Yes,General,50,234,325.41,0.72,31,3
Connecticut,CLABSI,2016,Yes,General,32,247,240.98,1.03,24,17
Delaware,CLABSI,2016,,General,8,90,93.23,0.97,8,
District of Columbia,CLABSI,2016,Yes,General,8,166,174.73,0.95,8,
Florida,CLABSI,2016,No,General,202,1851,2044.19,0.91,174,16
Georgia,CLABSI,2016,Yes,General,103,1002,877.09,1.14,65,26
Guam,CLABSI,2016,No,General,1,,,,,
Hawaii,CLABSI,2016,Yes,General,16,56,106.61,0.53,13,0
Idaho,CLABSI,2016,No,General,11,29,73.6,0.39,8,
Illinois,CLABSI,2016,Yes,General,133,677,968.26,0.7,102,3
Indiana,CLABSI,2016,Yes,General,86,551,558.99,0.99,58,9
Iowa,CLABSI,2016,No,General,39,136,214.3,0.64,23,0
Kansas,CLABSI,2016,No,General,51,176,207.33,0.85,19,0
Kentucky,CLABSI,2016,Yes,General,69,316,411.89,0.77,39,8
Louisiana,CLABSI,2016,No,General,87,492,437.22,1.13,43,21
Maine,CLABSI,2016,Yes,General,17,65,70.24,0.93,9,
Maryland,CLABSI,2016,Yes,General,49,519,470.14,1.1,44,18
Massachusetts,CLABSI,2016,Yes,General,67,463,605.98,0.76,48,2
Michigan,CLABSI,2016,No,General,93,565,725.5,0.78,57,11
Minnesota,CLABSI,2016,Yes,General,52,299,349.11,0.86,20,5
Mississippi,CLABSI,2016,Yes,General,55,232,251.05,0.92,29,14
Missouri,CLABSI,2016,,General,75,619,662.92,0.93,48,10
Montana,CLABSI,2016,No,General,13,26,37.69,0.69,9,
Nebraska,CLABSI,2016,Midyear Implementation,General,26,126,161.37,0.78,18,11
Nevada,CLABSI,2016,Yes,General,22,270,288.74,0.94,19,16
New Hampshire,CLABSI,2016,Yes,General,13,67,69.86,0.96,11,9
New Jersey,CLABSI,2016,Yes,General,71,535,651.09,0.82,64,11
New Mexico,CLABSI,2016,Yes,General,32,122,115.81,1.05,13,15
New York,CLABSI,2016,,General,174,1726,1767.32,0.98,133,19
North Carolina,CLABSI,2016,Yes,General,94,807,779.82,1.04,60,13
North Dakota,CLABSI,2016,No,General,7,56,66.32,0.84,6,
Ohio,CLABSI,2016,No,General,137,938,1121.91,0.84,96,7
Oklahoma,CLABSI,2016,Yes,General,77,326,399.86,0.82,32,6
Oregon,CLABSI,2016,Yes,General,36,160,234.26,0.68,25,0
Pennsylvania,CLABSI,2016,Yes,General,163,1286,1360.55,0.95,108,8
Puerto Rico,CLABSI,2016,No,General,13,60,67.35,0.89,10,10
Rhode Island,CLABSI,2016,No,General,11,76,74.12,1.03,9,
South Carolina,CLABSI,2016,Yes,General,62,412,427.61,0.96,33,6
South Dakota,CLABSI,2016,No,General,17,48,62.41,0.77,5,
Tennessee,CLABSI,2016,Yes,General,105,584,749.66,0.78,60,15
Texas,CLABSI,2016,Yes,General,328,1915,2205.27,0.87,203,9
Utah,CLABSI,2016,Yes,General,34,116,138.75,0.84,13,0
Vermont,CLABSI,2016,Yes,General,6,18,26.43,0.68,2,
Virgin Islands,CLABSI,2016,,General,2,,,,,
Virginia,CLABSI,2016,Yes,General,83,402,589.31,0.68,54,4
Washington,CLABSI,2016,Yes,General,56,344,485.8,0.71,45,4
West Virginia,CLABSI,2016,Yes,General,29,168,194.66,0.86,20,15
Wisconsin,CLABSI,2016,No,General,72,318,397.85,0.8,44,7
Alabama,COLON,2016,Yes,General,66,102,150.4526778,0.68,29,0
Arkansas,COLON,2016,Yes,General,38,63,69.91727281,0.9,21,0
Arizona,COLON,2016,No,General,58,185,160.743267,1.15,34,12
California,COLON,2016,Yes,General,306,677,706.8451686,0.96,189,5
Colorado,COLON,2016,Yes,General,46,113,116.7928719,0.97,29,3
Connecticut,COLON,2016,Yes,General,30,107,95.22819354,1.12,22,5
Maryland,CAUTI,2016,No,LTAC,2,,,,,
District of Columbia,COLON,2016,Midyear Implementation,General,7,35,36.63894708,0.96,5,
Delaware,COLON,2016,,General,7,32,31.23867499,1.02,5,
Florida,COLON,2016,No,General,187,482,595.3804921,0.81,141,7
Georgia,COLON,2016,Yes,General,89,262,264.2158286,0.99,53,8
Guam,COLON,2016,No,General,0,,,,,
Hawaii,COLON,2016,Yes,General,13,22,27.17697095,0.81,7,
Washington,MRSA,2016,No,LTAC,3,,,,,
Iowa,COLON,2016,No,General,35,70,74.14364369,0.94,21,14
Idaho,COLON,2016,No,General,12,29,29.77290387,0.97,8,
Illinois,COLON,2016,Yes,General,125,266,305.5504065,0.87,77,3
Indiana,COLON,2016,Yes,General,77,158,170.3909221,0.93,42,5
Kansas,COLON,2016,No,General,41,86,69.87165864,1.23,14,7
Kentucky,COLON,2016,Yes,General,65,127,128.8755779,0.99,31,6
Louisiana,COLON,2016,No,General,71,113,133.0373829,0.85,33,3
Massachusetts,COLON,2016,Yes,General,61,147,174.4047783,0.84,42,2
Maryland,COLON,2016,Yes,General,45,154,156.0277562,0.99,33,9
Maine,COLON,2016,No,General,17,44,34.7642597,1.27,8,
Michigan,COLON,2016,No,General,86,260,284.9083831,0.91,51,4
Minnesota,COLON,2016,Yes,General,50,156,149.5817078,1.04,22,5
Missouri,COLON,2016,,General,64,152,184.0922694,0.83,37,5
Mississippi,COLON,2016,Yes,General,41,60,70.11796313,0.86,21,10
Montana,COLON,2016,No,General,12,17,18.24442382,0.93,7,
North Carolina,COLON,2016,Yes,General,88,216,269.1699696,0.8,50,0
Guam,CLABSI,2017,,General,2,,,,,
North Dakota,COLON,2016,No,General,6,35,20.2820435,1.73,6,
Nebraska,COLON,2016,No,General,22,72,51.74257253,1.39,12,25
New Hampshire,COLON,2016,Yes,General,13,32,32.87496939,0.97,11,0
New Jersey,COLON,2016,Yes,General,70,151,204.3375461,0.74,47,2
New Mexico,COLON,2016,No,General,28,35,29.24806675,1.2,9,
Nevada,COLON,2016,No,General,19,67,52.7397748,1.27,14,14
New York,COLON,2016,,General,164,576,529.1760606,1.09,107,9
Ohio,COLON,2016,No,General,124,314,388.8961921,0.81,79,4
Oklahoma,COLON,2016,Yes,General,58,111,103.1757307,1.08,22,9
Oregon,COLON,2016,Yes,General,34,69,98.90661822,0.7,23,4
Pennsylvania,COLON,2016,Yes,General,150,342,415.9691347,0.82,91,3
Puerto Rico,COLON,2016,No,General,0,,,,,
Rhode Island,COLON,2016,No,General,11,33,28.29502853,1.17,6,
South Carolina,COLON,2016,Yes,General,55,117,113.5588515,1.03,27,4
South Dakota,COLON,2016,No,General,14,26,22.31265557,1.17,4,
Tennessee,COLON,2016,Yes,General,87,195,211.9348354,0.92,45,9
Texas,COLON,2016,Yes,General,268,522,585.1400702,0.89,141,4
Utah,COLON,2016,Yes,General,32,62,51.98441843,1.19,9,
Virginia,COLON,2016,Yes,General,74,208,183.0197451,1.14,40,10
Virgin Islands,COLON,2016,,General,2,,,,,
Vermont,COLON,2016,No,General,6,21,11.03708444,1.9,2,
Washington,COLON,2016,Yes,General,48,128,145.5389244,0.88,34,9
Wisconsin,COLON,2016,No,General,68,140,141.4766708,0.99,34,9
West Virginia,COLON,2016,Yes,General,26,64,53.882349,1.19,15,7
Wyoming,COLON,2016,No,General,10,6,6.13437437,0.98,2,
Alaska,CDI,2016,Yes,General,8,124,134.6,0.92,7,
Alabama,VAE,2016,No,LTAC,8,19,27.3168647,0.7,7,
Arizona,CDI,2016,No,General,67,2068,2300.363,0.9,57,9
Arkansas,CDI,2016,Yes,General,47,688,868.616,0.79,41,5
California,CDI,2016,Yes,General,338,10303,9618.137,1.07,315,23
Colorado,CDI,2016,Yes,General,52,1318,1257.714,1.05,46,13
Connecticut,CDI,2016,Yes,General,32,1091,1082.191,1.01,31,19
District of Columbia,CDI,2016,Midyear Implementation,General,7,465,416.047,1.12,7,
Florida,CDI,2016,No,General,197,6673,8280.104,0.81,190,6
Georgia,CDI,2016,Yes,General,104,2647,3007.777,0.88,90,10
Guam,CDI,2016,No,General,0,,,,,
Hawaii,CDI,2016,Yes,General,16,257,356.219,0.72,15,7
Idaho,CDI,2016,No,General,13,227,311.148,0.73,11,0
Illinois,CDI,2016,Yes,General,134,4338,4318.693,1,125,19
Indiana,CDI,2016,No,General,89,2045,2296.879,0.89,78,8
Iowa,CDI,2016,No,General,39,769,928.749,0.83,34,3
Kansas,CDI,2016,No,General,57,700,751.142,0.93,38,11
Kentucky,CDI,2016,Yes,General,70,1562,1823.375,0.86,63,10
Louisiana,CDI,2016,No,General,91,1239,1371.476,0.9,66,14
Maine,CDI,2016,Yes,General,17,233,342.156,0.68,17,6
Maryland,CDI,2016,Yes,General,48,2084,2077.64,1,47,26
Massachusetts,CDI,2016,Yes,General,69,2366,2513.585,0.94,66,14
Michigan,CDI,2016,No,General,96,3060,3490.027,0.88,85,8
Minnesota,CDI,2016,Yes,General,54,1324,1429.316,0.93,49,10
Mississippi,CDI,2016,Yes,General,58,827,1148.796,0.72,48,4
Missouri,CDI,2016,,General,75,2194,2333.314,0.94,68,12
Montana,CDI,2016,No,General,13,203,214.426,0.95,11,27
National,CDI,2016,,General,3605,95530,103780.133,0.92,3180,10
Nebraska,CDI,2016,Yes,General,27,477,535.346,0.89,22,14
Nevada,CDI,2016,No,General,21,1143,1056.073,1.08,21,33
New Hampshire,CDI,2016,No,General,13,376,324.563,1.16,13,23
New Jersey,CDI,2016,Yes,General,71,2666,2852.207,0.94,71,14
New Mexico,CDI,2016,No,General,34,527,493.435,1.07,29,21
New York,CDI,2016,Yes,General,181,6897,7495.248,0.92,172,16
North Carolina,CDI,2016,Yes,General,96,3069,3443.817,0.89,92,10
North Dakota,CDI,2016,No,General,7,246,243.626,1.01,6,
Ohio,CDI,2016,No,General,139,4108,4559.424,0.9,127,9
Oklahoma,CDI,2016,Yes,General,83,1090,1223.667,0.89,57,9
Oregon,CDI,2016,Yes,General,36,874,928.645,0.94,34,9
Pennsylvania,CDI,2016,Yes,General,166,4647,5003.792,0.93,147,16
Puerto Rico,CDI,2016,No,General,4,,,,,
Rhode Island,CDI,2016,No,General,11,443,366.72,1.21,11,27
South Carolina,CDI,2016,Yes,General,63,1376,1720.206,0.8,58,0
South Dakota,CDI,2016,No,General,19,298,308.156,0.97,10,10
Tennessee,CDI,2016,Yes,General,109,2272,2572.503,0.88,93,13
Texas,CDI,2016,No,General,346,7343,8327.46,0.88,262,11
Utah,CDI,2016,Yes,General,36,568,526.612,1.08,29,17
Vermont,CDI,2016,Yes,General,6,116,117.532,0.99,6,
Virgin Islands,CDI,2016,,General,2,,,,,
Virginia,CDI,2016,Yes,General,80,2312,2429.869,0.95,77,14
Washington,CDI,2016,No,General,57,1824,1720.741,1.06,53,19
West Virginia,CDI,2016,Yes,General,30,790,807.795,0.98,27,22
Wisconsin,CDI,2016,No,General,74,1552,1561.889,0.99,69,16
Alaska,MRSA,2016,Yes,General,8,12,13.104,0.92,3,
Alabama,CLABSI,2016,No,LTAC,8,31,43.522,0.71,8,
Arkansas,MRSA,2016,Yes,General,47,99,80.878,1.22,19,5
Arizona,MRSA,2016,No,General,66,183,182.947,1,36,11
California,MRSA,2016,Yes,General,338,750,786.189,0.95,200,6
Colorado,MRSA,2016,No,General,50,68,94.305,0.72,24,0
Connecticut,MRSA,2016,Yes,General,32,97,91.126,1.06,20,5
District of Columbia,MRSA,2016,Yes,General,8,73,56.753,1.29,8,
Delaware,MRSA,2016,,General,8,27,32.523,0.83,6,
Florida,MRSA,2016,No,General,198,790,705.756,1.12,151,11
Georgia,MRSA,2016,Yes,General,104,298,278.108,1.07,54,9
Guam,MRSA,2016,No,General,0,,,,,
Hawaii,MRSA,2016,Yes,General,16,15,33.562,0.45,12,0
Iowa,MRSA,2016,No,General,37,47,79.481,0.59,16,0
Idaho,MRSA,2016,No,General,13,4,24.239,0.17,7,
Illinois,MRSA,2016,Yes,General,134,211,313.855,0.67,84,2
Indiana,MRSA,2016,No,General,90,144,182.339,0.79,38,8
Kansas,MRSA,2016,No,General,57,38,62.373,0.61,13,0
Kentucky,MRSA,2016,Yes,General,70,213,174.485,1.22,32,9
Louisiana,MRSA,2016,No,General,89,226,165.989,1.36,35,17
Massachusetts,MRSA,2016,Yes,General,69,123,207.41,0.59,40,3
Maryland,MRSA,2016,Yes,General,48,200,173.941,1.15,36,14
Maine,MRSA,2016,Yes,General,17,18,34.998,0.51,5,
Michigan,MRSA,2016,No,General,97,311,300.428,1.04,56,13
Minnesota,MRSA,2016,Yes,General,53,56,107.749,0.52,19,0
Missouri,MRSA,2016,,General,76,192,211.228,0.91,38,8
Mississippi,MRSA,2016,Yes,General,60,120,104.455,1.15,21,14
North Dakota,VAE,2016,No,LTAC,2,,,,,
Montana,MRSA,2016,No,General,13,3,15.216,0.2,6,
North Carolina,MRSA,2016,Yes,General,96,310,330.407,0.94,49,10
North Dakota,MRSA,2016,No,General,7,10,23.58,0.42,6,
Nebraska,MRSA,2016,Yes,General,27,35,48.755,0.72,11,0
New Hampshire,MRSA,2016,No,General,13,21,26.832,0.78,7,
New Jersey,MRSA,2016,Yes,General,71,266,264.679,1.01,62,6
New Mexico,MRSA,2016,No,General,32,29,37.363,0.78,8,
Nevada,MRSA,2016,Yes,General,20,65,77.499,0.84,15,7
New York,MRSA,2016,No,General,180,703,723.925,0.97,122,10
Ohio,MRSA,2016,No,General,137,338,395.09,0.86,76,5
Oklahoma,MRSA,2016,Yes,General,81,139,122.251,1.14,18,6
Oregon,MRSA,2016,Yes,General,36,56,87.573,0.64,19,0
Pennsylvania,MRSA,2016,Yes,General,167,360,444.016,0.81,92,1
Puerto Rico,MRSA,2016,No,General,2,,,,,
Rhode Island,MRSA,2016,No,General,11,19,26.745,0.71,5,
South Carolina,MRSA,2016,Yes,General,63,167,164.697,1.01,26,12
South Dakota,MRSA,2016,No,General,19,16,23.443,0.68,3,
Tennessee,MRSA,2016,Yes,General,109,346,260.646,1.33,44,16
Texas,MRSA,2016,No,General,353,632,754.059,0.84,148,3
Utah,MRSA,2016,Yes,General,35,34,50.108,0.68,10,0
Virginia,MRSA,2016,Yes,General,80,177,,0.85,44,2
Virgin Islands,MRSA,2016,,General,2,,,,,
Vermont,MRSA,2016,No,General,6,9,12.001,0.75,2,
Washington,MRSA,2016,No,General,57,101,146.301,0.69,33,0
Wisconsin,MRSA,2016,No,General,74,55,112.266,0.49,27,4
West Virginia,MRSA,2016,Yes,General,30,90,79.001,1.14,16,6
Wyoming,MRSA,2016,No,General,10,4,4.412,0.91,2,
Alabama,VAE,2016,No,General,39,411,443.7285851,0.93,29,14
Alabama,HYST,2016,Yes,General,58,31,42.81972109,0.72,10,0
Alabama,CAUTI,2016,Yes,General,88,528,612.37,0.86,45,7
Alaska,CAUTI,2016,Yes,General,10,52,28.54,1.82,6,
Arizona,CAUTI,2016,No,General,67,377,547.56,0.69,46,0
Arkansas,CAUTI,2016,Yes,General,49,339,334.48,1.01,30,3
California,CAUTI,2016,No,General,335,3262,2932.93,1.11,284,19
Colorado,CAUTI,2016,No,General,50,310,370.34,0.84,33,12
Connecticut,CAUTI,2016,Yes,General,32,251,264.05,0.95,25,4
Delaware,CAUTI,2016,,General,8,68,73.68,0.92,8,
District of Columbia,CAUTI,2016,Yes,General,8,142,130,1.09,8,
Alabama,CAUTI,2016,No,REHAB,16,21,18.46,1.14,9,
Florida,CAUTI,2016,No,General,202,1893,2300.8,0.82,182,9
Georgia,CAUTI,2016,Yes,General,106,974,961.29,1.01,75,11
Guam,CAUTI,2016,No,General,1,,,,,
Hawaii,CAUTI,2016,Yes,General,16,63,85.4,0.74,13,15
Idaho,CAUTI,2016,No,General,15,55,97.91,0.56,9,
Illinois,CAUTI,2016,Yes,General,134,856,1011.28,0.85,109,5
Indiana,CAUTI,2016,Yes,General,88,464,561.36,0.83,55,9
Iowa,CAUTI,2016,No,General,40,218,217.61,1,26,15
Kansas,CAUTI,2016,No,General,53,202,216.66,0.93,25,0
Kentucky,CAUTI,2016,Yes,General,71,412,493.88,0.83,49,10
Louisiana,CAUTI,2016,No,General,90,515,595.73,0.86,54,9
Maine,CAUTI,2016,No,General,17,100,70.63,1.42,11,18
Maryland,CAUTI,2016,Yes,General,49,540,511.98,1.06,43,26
Massachusetts,CAUTI,2016,Yes,General,69,611,646.54,0.95,57,12
Michigan,CAUTI,2016,No,General,95,793,926.69,0.86,65,3
Minnesota,CAUTI,2016,Yes,General,53,363,334.9,1.08,26,15
Mississippi,CAUTI,2016,Yes,General,60,251,335.99,0.75,33,0
Missouri,CAUTI,2016,,General,76,621,673.43,0.92,58,5
Montana,CAUTI,2016,No,General,13,38,41.91,0.91,9,
National,CAUTI,2016,,General,3644,26967,28996.78,0.93,2591,10
Nebraska,CAUTI,2016,No,General,27,114,131.6,0.87,17,0
Nevada,CAUTI,2016,No,General,22,264,299.18,0.88,18,22
New Hampshire,CAUTI,2016,Yes,General,13,113,95.4,1.19,13,8
New Jersey,CAUTI,2016,Yes,General,71,630,723.7,0.87,70,9
New Mexico,CAUTI,2016,No,General,32,181,146.24,1.24,14,29
New York,CAUTI,2016,No,General,176,2187,1986.49,1.1,148,20
North Carolina,CAUTI,2016,Yes,General,94,824,907.2,0.91,74,8
North Dakota,CAUTI,2016,No,General,7,74,68.7,1.08,6,
Ohio,CAUTI,2016,No,General,139,1062,1375.87,0.77,104,6
Oklahoma,CAUTI,2016,Yes,General,86,398,394.41,1.01,38,13
Oregon,CAUTI,2016,Yes,General,37,251,282.04,0.89,28,11
Pennsylvania,CAUTI,2016,Yes,General,174,1447,1515.79,0.96,124,8
Puerto Rico,CAUTI,2016,No,General,14,87,118.17,0.74,14,7
Rhode Island,CAUTI,2016,No,General,11,91,79.11,1.15,9,
South Carolina,CAUTI,2016,No,General,63,422,456.21,0.93,42,21
South Dakota,CAUTI,2016,No,General,21,69,65,1.06,7,
Alabama,CAUTI,2016,No,LTAC,8,41,47.44,0.86,8,
Tennessee,CAUTI,2016,Yes,General,106,711,795.75,0.89,67,9
Texas,CAUTI,2016,Midyear Implementation,General,359,1840,2232.23,0.82,216,5
Utah,CAUTI,2016,Yes,General,35,174,139.47,1.25,18,11
Vermont,CAUTI,2016,No,General,6,30,41.08,0.73,3,
Virgin Islands,CAUTI,2016,,General,2,,,,,
Virginia,CAUTI,2016,Yes,General,83,627,631.67,0.99,60,12
