Antibiotic_Class,Year,Location,Age_Group,Sex,Rate
Fluoroquinolones,2014,Hawaii,Combined Ages,Combined Gender,82.55730469
Macrolides,2014,Hawaii,Combined Ages,Combined Gender,132.0651737
Penicillins,2014,Hawaii,Combined Ages,Combined Gender,143.7831625
All classes,2014,Idaho,Combined Ages,Combined Gender,692.3643225
All other,2014,Idaho,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Idaho,Combined Ages,Combined Gender,102.7226479
Fluoroquinolones,2014,Idaho,Combined Ages,Combined Gender,70.11050718
Macrolides,2014,Idaho,Combined Ages,Combined Gender,119.0548033
Penicillins,2014,Idaho,Combined Ages,Combined Gender,158.8424829
All classes,2014,Illinois,Combined Ages,Combined Gender,852.3390981
All other,2014,Illinois,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Illinois,Combined Ages,Combined Gender,98.45382428
Fluoroquinolones,2014,Illinois,Combined Ages,Combined Gender,99.35465794
Macrolides,2014,Illinois,Combined Ages,Combined Gender,165.9416905
Penicillins,2014,Illinois,Combined Ages,Combined Gender,208.9461352
All classes,2014,Indiana,Combined Ages,Combined Gender,950.287249
All other,2014,Indiana,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Indiana,Combined Ages,Combined Gender,163.8676733
Fluoroquinolones,2014,Indiana,Combined Ages,Combined Gender,109.8473773
Macrolides,2014,Indiana,Combined Ages,Combined Gender,165.0418298
Penicillins,2014,Indiana,Combined Ages,Combined Gender,215.0244624
All classes,2014,Iowa,Combined Ages,Combined Gender,1000.150164
All other,2014,Iowa,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Iowa,Combined Ages,Combined Gender,162.4871215
Fluoroquinolones,2014,Iowa,Combined Ages,Combined Gender,115.8740939
Macrolides,2014,Iowa,Combined Ages,Combined Gender,195.7159735
Penicillins,2014,Iowa,Combined Ages,Combined Gender,214.2116927
All classes,2014,Kansas,Combined Ages,Combined Gender,991.8439157
All other,2014,Kansas,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Kansas,Combined Ages,Combined Gender,155.0832553
Fluoroquinolones,2014,Kansas,Combined Ages,Combined Gender,117.6308057
Macrolides,2014,Kansas,Combined Ages,Combined Gender,181.9800855
Penicillins,2014,Kansas,Combined Ages,Combined Gender,207.5557546
All classes,2014,Kentucky,Combined Ages,Combined Gender,1261.77307
All other,2014,Kentucky,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Kentucky,Combined Ages,Combined Gender,195.1538307
Fluoroquinolones,2014,Kentucky,Combined Ages,Combined Gender,163.9710164
Macrolides,2014,Kentucky,Combined Ages,Combined Gender,232.5213342
Penicillins,2014,Kentucky,Combined Ages,Combined Gender,281.8345687
All classes,2014,Louisiana,Combined Ages,Combined Gender,1176.509892
All other,2014,Louisiana,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Louisiana,Combined Ages,Combined Gender,140.2508928
Fluoroquinolones,2014,Louisiana,Combined Ages,Combined Gender,137.941605
Macrolides,2014,Louisiana,Combined Ages,Combined Gender,239.5381807
Penicillins,2014,Louisiana,Combined Ages,Combined Gender,245.1325017
All classes,2014,Maine,Combined Ages,Combined Gender,719.7605499
All other,2014,Maine,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Maine,Combined Ages,Combined Gender,81.74484565
Fluoroquinolones,2014,Maine,Combined Ages,Combined Gender,80.97469417
Macrolides,2014,Maine,Combined Ages,Combined Gender,133.0098587
Penicillins,2014,Maine,Combined Ages,Combined Gender,161.1514342
All classes,2014,Maryland,Combined Ages,Combined Gender,795.7591208
All other,2014,Maryland,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Maryland,Combined Ages,Combined Gender,91.59267767
Fluoroquinolones,2014,Maryland,Combined Ages,Combined Gender,97.18077266
Macrolides,2014,Maryland,Combined Ages,Combined Gender,141.7578856
Penicillins,2014,Maryland,Combined Ages,Combined Gender,192.7848405
All classes,2014,Massachusetts,Combined Ages,Combined Gender,768.4742643
All other,2014,Massachusetts,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Massachusetts,Combined Ages,Combined Gender,87.24197113
Fluoroquinolones,2014,Massachusetts,Combined Ages,Combined Gender,84.90629329
Macrolides,2014,Massachusetts,Combined Ages,Combined Gender,123.8838095
Penicillins,2014,Massachusetts,Combined Ages,Combined Gender,191.672314
All classes,2014,Michigan,Combined Ages,Combined Gender,924.6672042
All other,2014,Michigan,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Michigan,Combined Ages,Combined Gender,127.1727722
Fluoroquinolones,2014,Michigan,Combined Ages,Combined Gender,106.2470705
Macrolides,2014,Michigan,Combined Ages,Combined Gender,170.7536289
Penicillins,2014,Michigan,Combined Ages,Combined Gender,230.1431683
All classes,2014,Minnesota,Combined Ages,Combined Gender,709.9544581
All other,2014,Minnesota,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Minnesota,Combined Ages,Combined Gender,95.99726269
Fluoroquinolones,2014,Minnesota,Combined Ages,Combined Gender,74.36794472
Macrolides,2014,Minnesota,Combined Ages,Combined Gender,126.1388836
Penicillins,2014,Minnesota,Combined Ages,Combined Gender,176.6842008
All classes,2014,Mississippi,Combined Ages,Combined Gender,1221.996741
All other,2014,Mississippi,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Mississippi,Combined Ages,Combined Gender,177.0791218
Fluoroquinolones,2014,Mississippi,Combined Ages,Combined Gender,158.7029734
Macrolides,2014,Mississippi,Combined Ages,Combined Gender,235.3277151
Penicillins,2014,Mississippi,Combined Ages,Combined Gender,232.8859593
All classes,2014,Missouri,Combined Ages,Combined Gender,935.6978878
All other,2014,Missouri,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Missouri,Combined Ages,Combined Gender,128.7587054
Fluoroquinolones,2014,Missouri,Combined Ages,Combined Gender,115.6318774
Macrolides,2014,Missouri,Combined Ages,Combined Gender,166.1830114
Penicillins,2014,Missouri,Combined Ages,Combined Gender,215.5692099
All classes,2014,Montana,Combined Ages,Combined Gender,647.9170342
All other,2014,Montana,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Montana,Combined Ages,Combined Gender,75.59712538
Fluoroquinolones,2014,Montana,Combined Ages,Combined Gender,73.66856882
Macrolides,2014,Montana,Combined Ages,Combined Gender,126.8117458
Penicillins,2014,Montana,Combined Ages,Combined Gender,141.3824141
All classes,2014,Nebraska,Combined Ages,Combined Gender,1044.647364
All other,2014,Nebraska,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Nebraska,Combined Ages,Combined Gender,174.8157829
Fluoroquinolones,2014,Nebraska,Combined Ages,Combined Gender,124.1063979
Macrolides,2014,Nebraska,Combined Ages,Combined Gender,176.4489719
Penicillins,2014,Nebraska,Combined Ages,Combined Gender,227.3348382
All classes,2014,Nevada,Combined Ages,Combined Gender,708.9648512
All other,2014,Nevada,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Nevada,Combined Ages,Combined Gender,89.55030452
Fluoroquinolones,2014,Nevada,Combined Ages,Combined Gender,89.0526889
Macrolides,2014,Nevada,Combined Ages,Combined Gender,132.1974542
Penicillins,2014,Nevada,Combined Ages,Combined Gender,164.7593092
All classes,2014,New Hampshire,Combined Ages,Combined Gender,701.2598686
All other,2014,New Hampshire,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,New Hampshire,Combined Ages,Combined Gender,84.10264295
Fluoroquinolones,2014,New Hampshire,Combined Ages,Combined Gender,73.86880442
Macrolides,2014,New Hampshire,Combined Ages,Combined Gender,114.5142156
Penicillins,2014,New Hampshire,Combined Ages,Combined Gender,170.1830778
All classes,2014,New Jersey,Combined Ages,Combined Gender,902.2686331
All other,2014,New Jersey,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,New Jersey,Combined Ages,Combined Gender,106.7687833
Fluoroquinolones,2014,New Jersey,Combined Ages,Combined Gender,116.8758745
Macrolides,2014,New Jersey,Combined Ages,Combined Gender,188.0610259
Penicillins,2014,New Jersey,Combined Ages,Combined Gender,211.5196077
All classes,2014,New Mexico,Combined Ages,Combined Gender,713.8199448
All other,2014,New Mexico,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,New Mexico,Combined Ages,Combined Gender,91.41868034
Fluoroquinolones,2014,New Mexico,Combined Ages,Combined Gender,76.5604544
Macrolides,2014,New Mexico,Combined Ages,Combined Gender,144.7533914
Penicillins,2014,New Mexico,Combined Ages,Combined Gender,166.8590583
All classes,2014,New York,Combined Ages,Combined Gender,899.4814533
All other,2014,New York,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,New York,Combined Ages,Combined Gender,106.9337798
Fluoroquinolones,2014,New York,Combined Ages,Combined Gender,116.9144754
Macrolides,2014,New York,Combined Ages,Combined Gender,177.7523017
Penicillins,2014,New York,Combined Ages,Combined Gender,209.2284784
All classes,2014,North Carolina,Combined Ages,Combined Gender,860.6740038
All other,2014,North Carolina,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,North Carolina,Combined Ages,Combined Gender,118.2824435
Fluoroquinolones,2014,North Carolina,Combined Ages,Combined Gender,112.129166
Macrolides,2014,North Carolina,Combined Ages,Combined Gender,141.6451065
Penicillins,2014,North Carolina,Combined Ages,Combined Gender,186.5661038
All classes,2014,North Dakota,Combined Ages,Combined Gender,852.8429225
All other,2014,North Dakota,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,North Dakota,Combined Ages,Combined Gender,133.3917797
Fluoroquinolones,2014,North Dakota,Combined Ages,Combined Gender,105.2340693
Macrolides,2014,North Dakota,Combined Ages,Combined Gender,158.3572284
Penicillins,2014,North Dakota,Combined Ages,Combined Gender,176.7296026
All classes,2014,Ohio,Combined Ages,Combined Gender,964.3850099
All other,2014,Ohio,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Ohio,Combined Ages,Combined Gender,126.8689943
Fluoroquinolones,2014,Ohio,Combined Ages,Combined Gender,116.5954049
Macrolides,2014,Ohio,Combined Ages,Combined Gender,174.2656499
Penicillins,2014,Ohio,Combined Ages,Combined Gender,223.3229022
All classes,2014,Oklahoma,Combined Ages,Combined Gender,965.19012
All other,2014,Oklahoma,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Oklahoma,Combined Ages,Combined Gender,144.7167043
Fluoroquinolones,2014,Oklahoma,Combined Ages,Combined Gender,116.4744894
Macrolides,2014,Oklahoma,Combined Ages,Combined Gender,182.0771052
Penicillins,2014,Oklahoma,Combined Ages,Combined Gender,208.125151
All classes,2014,Oregon,Combined Ages,Combined Gender,569.8875886
All other,2014,Oregon,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Oregon,Combined Ages,Combined Gender,69.23205883
Fluoroquinolones,2014,Oregon,Combined Ages,Combined Gender,67.2975909
Macrolides,2014,Oregon,Combined Ages,Combined Gender,89.15922694
Penicillins,2014,Oregon,Combined Ages,Combined Gender,130.5157045
All classes,2014,Pennsylvania,Combined Ages,Combined Gender,885.0390371
All other,2014,Pennsylvania,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Pennsylvania,Combined Ages,Combined Gender,112.9378412
Fluoroquinolones,2014,Pennsylvania,Combined Ages,Combined Gender,106.8561271
Macrolides,2014,Pennsylvania,Combined Ages,Combined Gender,159.4821755
Penicillins,2014,Pennsylvania,Combined Ages,Combined Gender,213.801918
All classes,2014,Rhode Island,Combined Ages,Combined Gender,892.2845259
All other,2014,Rhode Island,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Rhode Island,Combined Ages,Combined Gender,93.85654296
Fluoroquinolones,2014,Rhode Island,Combined Ages,Combined Gender,115.3042013
Macrolides,2014,Rhode Island,Combined Ages,Combined Gender,171.6973425
Penicillins,2014,Rhode Island,Combined Ages,Combined Gender,203.1672721
All classes,2014,South Carolina,Combined Ages,Combined Gender,926.6209765
All other,2014,South Carolina,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,South Carolina,Combined Ages,Combined Gender,124.205907
Fluoroquinolones,2014,South Carolina,Combined Ages,Combined Gender,124.6228356
Cephalosporins,2016,National,20+,Male,Insufficient Data
Macrolides,2014,South Carolina,Combined Ages,Combined Gender,166.3450728
Penicillins,2014,South Carolina,Combined Ages,Combined Gender,196.5839604
All classes,2014,South Dakota,Combined Ages,Combined Gender,900.6093123
All other,2014,South Dakota,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,South Dakota,Combined Ages,Combined Gender,155.3235034
Fluoroquinolones,2014,South Dakota,Combined Ages,Combined Gender,93.12237232
Macrolides,2014,South Dakota,Combined Ages,Combined Gender,180.8800656
Penicillins,2014,South Dakota,Combined Ages,Combined Gender,191.286559
All classes,2014,Tennessee,Combined Ages,Combined Gender,1161.77553
All other,2014,Tennessee,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Tennessee,Combined Ages,Combined Gender,172.0902114
Fluoroquinolones,2014,Tennessee,Combined Ages,Combined Gender,156.5366833
Macrolides,2014,Tennessee,Combined Ages,Combined Gender,202.673608
Penicillins,2014,Tennessee,Combined Ages,Combined Gender,226.6311858
All classes,2014,Texas,Combined Ages,Combined Gender,898.7923493
All other,2014,Texas,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Texas,Combined Ages,Combined Gender,129.8642083
Fluoroquinolones,2014,Texas,Combined Ages,Combined Gender,108.2986845
Macrolides,2014,Texas,Combined Ages,Combined Gender,170.3139401
Penicillins,2014,Texas,Combined Ages,Combined Gender,208.4754878
All classes,2014,Utah,Combined Ages,Combined Gender,782.823954
All other,2014,Utah,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Utah,Combined Ages,Combined Gender,121.5336596
Fluoroquinolones,2014,Utah,Combined Ages,Combined Gender,71.64469969
Macrolides,2014,Utah,Combined Ages,Combined Gender,130.3356245
Penicillins,2014,Utah,Combined Ages,Combined Gender,207.6952138
All classes,2014,Vermont,Combined Ages,Combined Gender,638.1305601
All other,2014,Vermont,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Vermont,Combined Ages,Combined Gender,83.52372152
Fluoroquinolones,2014,Vermont,Combined Ages,Combined Gender,67.25964869
Macrolides,2014,Vermont,Combined Ages,Combined Gender,108.3253852
Penicillins,2014,Vermont,Combined Ages,Combined Gender,153.3825703
All classes,2014,Virginia,Combined Ages,Combined Gender,798.9687339
All other,2014,Virginia,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Virginia,Combined Ages,Combined Gender,117.2205745
Fluoroquinolones,2014,Virginia,Combined Ages,Combined Gender,94.30668212
Macrolides,2014,Virginia,Combined Ages,Combined Gender,140.8091156
Penicillins,2014,Virginia,Combined Ages,Combined Gender,181.6100594
All classes,2014,Washington,Combined Ages,Combined Gender,599.6562643
All other,2014,Washington,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Washington,Combined Ages,Combined Gender,80.61169463
Fluoroquinolones,2014,Washington,Combined Ages,Combined Gender,61.39527978
Macrolides,2014,Washington,Combined Ages,Combined Gender,103.824082
Penicillins,2014,Washington,Combined Ages,Combined Gender,130.5385193
All classes,2014,West Virginia,Combined Ages,Combined Gender,1284.882053
All other,2014,West Virginia,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,West Virginia,Combined Ages,Combined Gender,210.5698455
Fluoroquinolones,2014,West Virginia,Combined Ages,Combined Gender,166.592114
Macrolides,2014,West Virginia,Combined Ages,Combined Gender,220.7994429
Penicillins,2014,West Virginia,Combined Ages,Combined Gender,261.4795339
All classes,2014,Wisconsin,Combined Ages,Combined Gender,744.3790099
Cephalosporins,2014,Wisconsin,Combined Ages,Combined Gender,89.18154275
Fluoroquinolones,2014,Wisconsin,Combined Ages,Combined Gender,78.68072331
Macrolides,2014,Wisconsin,Combined Ages,Combined Gender,132.3646685
Penicillins,2014,Wisconsin,Combined Ages,Combined Gender,177.4095017
All classes,2014,Wyoming,Combined Ages,Combined Gender,777.0324555
All other,2014,Wyoming,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2014,Wyoming,Combined Ages,Combined Gender,111.119176
Fluoroquinolones,2014,Wyoming,Combined Ages,Combined Gender,73.24288329
Macrolides,2014,Wyoming,Combined Ages,Combined Gender,158.2790296
Penicillins,2014,Wyoming,Combined Ages,Combined Gender,170.8918896
All classes,2015,National,0-19,Combined Gender,788
B-lactams increased activity,2015,National,0-19,Combined Gender,82
Cephalosporins,2015,National,0-19,Combined Gender,140
Fluoroquinolones,2015,National,0-19,Combined Gender,9
Lincosamides,2015,National,0-19,Combined Gender,14
Macrolides,2015,National,0-19,Combined Gender,139
Other,2015,National,0-19,Combined Gender,Insufficient Data
Penicillins,2015,National,0-19,Combined Gender,303
Tetracycline,2015,National,0-19,Combined Gender,44
Trimethoprim-sulfamethoxazole,2015,National,0-19,Combined Gender,46
Urinary anti-infectives,2015,National,0-19,Combined Gender,10
All classes,2015,National,0-19,Female,840
B-lactams increased activity,2015,National,0-19,Female,Insufficient Data
Cephalosporins,2015,National,0-19,Female,Insufficient Data
Fluoroquinolones,2015,National,0-19,Female,Insufficient Data
Lincosamides,2015,National,0-19,Female,Insufficient Data
Macrolides,2015,National,0-19,Female,Insufficient Data
Other,2015,National,0-19,Female,Insufficient Data
Penicillins,2015,National,0-19,Female,Insufficient Data
Tetracycline,2015,National,0-19,Female,Insufficient Data
Trimethoprim-sulfamethoxazole,2015,National,0-19,Female,Insufficient Data
Urinary anti-infectives,2015,National,0-19,Female,Insufficient Data
All classes,2015,National,0-19,Male,737
B-lactams increased activity,2015,National,0-19,Male,Insufficient Data
Cephalosporins,2015,National,0-19,Male,Insufficient Data
Fluoroquinolones,2015,National,0-19,Male,Insufficient Data
Lincosamides,2015,National,0-19,Male,Insufficient Data
Macrolides,2015,National,0-19,Male,Insufficient Data
Other,2015,National,0-19,Male,Insufficient Data
Penicillins,2015,National,0-19,Male,Insufficient Data
Tetracycline,2015,National,0-19,Male,Insufficient Data
Trimethoprim-sulfamethoxazole,2015,National,0-19,Male,Insufficient Data
Urinary anti-infectives,2015,National,0-19,Male,Insufficient Data
All classes,2015,National,20+,Combined Gender,850
B-lactams increased activity,2015,National,20+,Combined Gender,77
Cephalosporins,2015,National,20+,Combined Gender,103
Fluoroquinolones,2015,National,20+,Combined Gender,132
Lincosamides,2015,National,20+,Combined Gender,36
Macrolides,2015,National,20+,Combined Gender,157
Other,2015,National,20+,Combined Gender,2
Penicillins,2015,National,20+,Combined Gender,152
Tetracycline,2015,National,20+,Combined Gender,71
Trimethoprim-sulfamethoxazole,2015,National,20+,Combined Gender,69
Urinary anti-infectives,2015,National,20+,Combined Gender,50
All classes,2015,National,20+,Female,1053
B-lactams increased activity,2015,National,20+,Female,Insufficient Data
Cephalosporins,2015,National,20+,Female,Insufficient Data
Fluoroquinolones,2015,National,20+,Female,Insufficient Data
Lincosamides,2015,National,20+,Female,Insufficient Data
Macrolides,2015,National,20+,Female,Insufficient Data
Other,2015,National,20+,Female,Insufficient Data
Penicillins,2015,National,20+,Female,Insufficient Data
Tetracycline,2015,National,20+,Female,Insufficient Data
Trimethoprim-sulfamethoxazole,2015,National,20+,Female,Insufficient Data
Urinary anti-infectives,2015,National,20+,Female,Insufficient Data
All classes,2015,National,20+,Male,633
B-lactams increased activity,2015,National,20+,Male,Insufficient Data
Cephalosporins,2015,National,20+,Male,Insufficient Data
Fluoroquinolones,2015,National,20+,Male,Insufficient Data
Lincosamides,2015,National,20+,Male,Insufficient Data
Macrolides,2015,National,20+,Male,Insufficient Data
Other,2015,National,20+,Male,Insufficient Data
Penicillins,2015,National,20+,Male,Insufficient Data
Tetracycline,2015,National,20+,Male,Insufficient Data
Trimethoprim-sulfamethoxazole,2015,National,20+,Male,Insufficient Data
Urinary anti-infectives,2015,National,20+,Male,Insufficient Data
All classes,2015,National,Combined Ages,Combined Gender,838
B-lactams increased activity,2015,National,Combined Ages,Combined Gender,79
Cephalosporins,2015,National,Combined Ages,Combined Gender,113
Fluoroquinolones,2015,National,Combined Ages,Combined Gender,101
Lincosamides,2015,National,Combined Ages,Combined Gender,31
Macrolides,2015,National,Combined Ages,Combined Gender,154
Other,2015,National,Combined Ages,Combined Gender,1
Penicillins,2015,National,Combined Ages,Combined Gender,192
Tetracycline,2015,National,Combined Ages,Combined Gender,64
Trimethoprim-sulfamethoxazole,2015,National,Combined Ages,Combined Gender,63
Urinary anti-infectives,2015,National,Combined Ages,Combined Gender,40
All classes,2015,National,Combined Ages,Female,1005
B-lactams increased activity,2015,National,Combined Ages,Female,89
Cephalosporins,2015,National,Combined Ages,Female,129
Fluoroquinolones,2015,National,Combined Ages,Female,129
Lincosamides,2015,National,Combined Ages,Female,36
Macrolides,2015,National,Combined Ages,Female,185
Other,2015,National,Combined Ages,Female,2
Penicillins,2015,National,Combined Ages,Female,210
Tetracycline,2015,National,Combined Ages,Female,74
Trimethoprim-sulfamethoxazole,2015,National,Combined Ages,Female,79
Urinary anti-infectives,2015,National,Combined Ages,Female,72
All classes,2015,National,Combined Ages,Male,663
B-lactams increased activity,2015,National,Combined Ages,Male,68
Cephalosporins,2015,National,Combined Ages,Male,95
Fluoroquinolones,2015,National,Combined Ages,Male,72
Lincosamides,2015,National,Combined Ages,Male,25
Macrolides,2015,National,Combined Ages,Male,121
Other,2015,National,Combined Ages,Male,1
Penicillins,2015,National,Combined Ages,Male,172
Tetracycline,2015,National,Combined Ages,Male,54
Fluoroquinolones,2016,National,20+,Male,Insufficient Data
Trimethoprim-sulfamethoxazole,2015,National,Combined Ages,Male,47
Urinary anti-infectives,2015,National,Combined Ages,Male,8
All classes,2015,Alabama,Combined Ages,Combined Gender,1149
All classes,2015,Alaska,Combined Ages,Combined Gender,511
All classes,2015,Arizona,Combined Ages,Combined Gender,769
All classes,2015,Arkansas,Combined Ages,Combined Gender,1154
All classes,2015,California,Combined Ages,Combined Gender,590
All classes,2015,Colorado,Combined Ages,Combined Gender,624
All classes,2015,Connecticut,Combined Ages,Combined Gender,843
All classes,2015,Delaware,Combined Ages,Combined Gender,915
All classes,2015,District Of Columbia,Combined Ages,Combined Gender,979
All classes,2015,Florida,Combined Ages,Combined Gender,706
All classes,2015,Georgia,Combined Ages,Combined Gender,830
All classes,2015,Hawaii,Combined Ages,Combined Gender,640
All classes,2015,Idaho,Combined Ages,Combined Gender,720
All classes,2015,Illinois,Combined Ages,Combined Gender,845
All classes,2015,Indiana,Combined Ages,Combined Gender,964
All classes,2015,Iowa,Combined Ages,Combined Gender,1018
All classes,2015,Kansas,Combined Ages,Combined Gender,1016
All classes,2015,Kentucky,Combined Ages,Combined Gender,1256
All classes,2015,Louisiana,Combined Ages,Combined Gender,1174
All classes,2015,Maine,Combined Ages,Combined Gender,732
All classes,2015,Maryland,Combined Ages,Combined Gender,794
All classes,2015,Massachusetts,Combined Ages,Combined Gender,759
All classes,2015,Michigan,Combined Ages,Combined Gender,918
All classes,2015,Minnesota,Combined Ages,Combined Gender,696
All classes,2015,Mississippi,Combined Ages,Combined Gender,1254
All classes,2015,Missouri,Combined Ages,Combined Gender,944
All classes,2015,Montana,Combined Ages,Combined Gender,662
All classes,2015,Nebraska,Combined Ages,Combined Gender,1072
All classes,2015,Nevada,Combined Ages,Combined Gender,733
All classes,2015,New Hampshire,Combined Ages,Combined Gender,728
All classes,2015,New Jersey,Combined Ages,Combined Gender,903
All classes,2015,New Mexico,Combined Ages,Combined Gender,724
All classes,2015,New York,Combined Ages,Combined Gender,898
All classes,2015,North Carolina,Combined Ages,Combined Gender,872
All classes,2015,North Dakota,Combined Ages,Combined Gender,864
All classes,2015,Ohio,Combined Ages,Combined Gender,964
All classes,2015,Oklahoma,Combined Ages,Combined Gender,966
All classes,2015,Oregon,Combined Ages,Combined Gender,582
All classes,2015,Pennsylvania,Combined Ages,Combined Gender,895
All classes,2015,Rhode Island,Combined Ages,Combined Gender,888
All classes,2015,South Carolina,Combined Ages,Combined Gender,936
All classes,2015,South Dakota,Combined Ages,Combined Gender,893
All other,2015,West Virginia,Combined Ages,Combined Gender,Insufficient Data
All classes,2015,Tennessee,Combined Ages,Combined Gender,1165
All classes,2015,Texas,Combined Ages,Combined Gender,895
All classes,2015,Utah,Combined Ages,Combined Gender,779
All classes,2015,Vermont,Combined Ages,Combined Gender,668
All classes,2015,Virginia,Combined Ages,Combined Gender,804
All classes,2015,Washington,Combined Ages,Combined Gender,610
All classes,2015,West Virginia,Combined Ages,Combined Gender,1319
All classes,2015,Wisconsin,Combined Ages,Combined Gender,745
All classes,2015,Wyoming,Combined Ages,Combined Gender,789
All other,2015,Alabama,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Alaska,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Arizona,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Arkansas,Combined Ages,Combined Gender,Insufficient Data
All other,2015,California,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Colorado,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Connecticut,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Delaware,Combined Ages,Combined Gender,Insufficient Data
All other,2015,District Of Columbia,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Florida,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Georgia,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Hawaii,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Idaho,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Illinois,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Indiana,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Iowa,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Kansas,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Kentucky,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Louisiana,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Maine,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Maryland,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Massachusetts,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Michigan,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Minnesota,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Mississippi,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Missouri,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Montana,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Nebraska,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Nevada,Combined Ages,Combined Gender,Insufficient Data
All other,2015,New Hampshire,Combined Ages,Combined Gender,Insufficient Data
All other,2015,New Jersey,Combined Ages,Combined Gender,Insufficient Data
All other,2015,New Mexico,Combined Ages,Combined Gender,Insufficient Data
All other,2015,New York,Combined Ages,Combined Gender,Insufficient Data
All other,2015,North Carolina,Combined Ages,Combined Gender,Insufficient Data
All other,2015,North Dakota,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Ohio,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Oklahoma,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Oregon,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Pennsylvania,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Rhode Island,Combined Ages,Combined Gender,Insufficient Data
All other,2015,South Carolina,Combined Ages,Combined Gender,Insufficient Data
All other,2015,South Dakota,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Tennessee,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Texas,Combined Ages,Combined Gender,Insufficient Data
All other,2015,Utah,Combined Ages,Combined Gender,Insufficient Data
