Phenotype,UnitedStates,EventType,EventYear,AgeCategory,NumberTested,NumberResistant,PercentResistant,Lower95CI,Upper95CI
Enterobacter spp. R to carbapenems,National,CLABSI,All Years,65+,973,55,5.7,4.3,7.2
Enterobacter spp. R to carbapenems,National,CLABSI,All Years,All Ages,3281,153,4.7,3.9,5.4
Enterobacter spp. R to carbapenems,National,SSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,National,SSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,National,SSI,2011,19-64,301,6,2,0.8,4
Enterobacter spp. R to carbapenems,National,SSI,2011,65+,286,6,2.1,0.8,4.3
Enterobacter spp. R to carbapenems,National,SSI,2011,All Ages,609,14,2.3,1.3,3.7
Enterobacter spp. R to carbapenems,National,SSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,National,SSI,2012, 1-18,26,1,3.8,0.1,17.5
Enterobacter spp. R to carbapenems,National,SSI,2012,19-64,679,9,1.3,0.6,2.4
Enterobacter spp. R to carbapenems,National,SSI,2012,65+,554,13,2.3,1.3,3.8
Enterobacter spp. R to carbapenems,National,SSI,2012,All Ages,1274,24,1.9,1.2,2.7
Enterobacter spp. R to carbapenems,National,SSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,National,SSI,2013, 1-18,31,0,0,0,9.2
Enterobacter spp. R to carbapenems,National,SSI,2013,19-64,805,21,2.6,1.6,3.8
Enterobacter spp. R to carbapenems,National,SSI,2013,65+,599,18,3,1.8,4.6
Enterobacter spp. R to carbapenems,National,SSI,2013,All Ages,1451,40,2.8,2,3.6
Enterobacter spp. R to carbapenems,National,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,National,SSI,2014, 1-18,25,1,4,0.1,18.1
Enterobacter spp. R to carbapenems,National,SSI,2014,19-64,850,14,1.6,0.9,2.6
Enterobacter spp. R to carbapenems,National,SSI,2014,65+,640,16,2.5,1.4,3.9
Enterobacter spp. R to carbapenems,National,SSI,2014,All Ages,1532,31,2,1.4,2.8
Enterobacter spp. R to carbapenems,National,SSI,All Years,<1,61,4,6.6,2.1,15
Enterobacter spp. R to carbapenems,National,SSI,All Years, 1-18,91,2,2.2,0.3,7
Enterobacter spp. R to carbapenems,National,SSI,All Years,19-64,2635,50,1.9,1.4,2.4
Enterobacter spp. R to carbapenems,National,SSI,All Years,65+,2079,53,2.5,1.9,3.2
Enterobacter spp. R to carbapenems,National,SSI,All Years,All Ages,4866,109,2.2,1.8,2.6
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2011,<1,200,63,31.5,25.3,38.1
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2011, 1-18,100,29,29,20.7,38.4
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2011,19-64,1140,305,26.8,24.2,29.3
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2011,65+,972,297,30.6,27.7,33.5
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2011,All Ages,2412,694,28.8,26.9,30.6
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2012,<1,166,59,35.5,28.5,43
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2012, 1-18,147,44,29.9,22.9,37.7
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2012,19-64,2001,524,26.2,24.2,28.1
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2012,65+,1737,509,29.3,27.1,31.4
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2012,All Ages,4051,1136,28,26.6,29.4
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2013,<1,172,45,26.2,20,33.1
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2013, 1-18,139,46,33.1,25.6,41.2
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2013,19-64,2243,622,27.7,25.9,29.6
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2013,65+,1819,544,29.9,27.8,32
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2013,All Ages,4373,1257,28.7,27.4,30
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2014,<1,149,45,30.2,23.2,37.9
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2014, 1-18,161,62,38.5,31.2,46.2
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2014,19-64,2319,614,26.5,24.7,28.3
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2014,65+,1788,534,29.9,27.7,32
Enterobacter spp. R to ES cephalosporins,National,All HAIs,2014,All Ages,4417,1255,28.4,27,29.7
Enterobacter spp. R to ES cephalosporins,National,All HAIs,All Years,<1,687,212,30.9,27.4,34.3
Enterobacter spp. R to ES cephalosporins,National,All HAIs,All Years, 1-18,547,181,33.1,29.2,37.1
Enterobacter spp. R to ES cephalosporins,National,All HAIs,All Years,19-64,7703,2065,26.8,25.8,27.8
Enterobacter spp. R to ES cephalosporins,National,All HAIs,All Years,65+,6316,1884,29.8,28.7,30.9
Enterobacter spp. R to ES cephalosporins,National,All HAIs,All Years,All Ages,15253,4342,28.5,27.7,29.1
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2011,19-64,313,101,32.3,27.2,37.6
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2011,65+,333,104,31.2,26.4,36.3
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2011,All Ages,677,217,32.1,28.6,35.6
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2012,<1,25,16,64,44.1,80.8
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2012, 1-18,48,17,35.4,22.9,49.6
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2012,19-64,672,210,31.3,27.8,34.8
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2012,65+,751,245,32.6,29.3,36
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2012,All Ages,1496,488,32.6,30.2,35
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2013,<1,25,12,48,29.1,67.2
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2013, 1-18,26,9,34.6,18.3,54.1
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2013,19-64,735,243,33.1,29.7,36.5
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2013,65+,783,254,32.4,29.2,35.7
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2013,All Ages,1569,518,33,30.7,35.3
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2014, 1-18,45,18,40,26.5,54.7
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2014,19-64,730,258,35.3,31.9,38.8
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2014,65+,734,251,34.2,30.8,37.6
Enterobacter spp. R to ES cephalosporins,National,CAUTI,2014,All Ages,1525,536,35.1,32.7,37.5
Enterobacter spp. R to ES cephalosporins,National,CAUTI,All Years,<1,80,43,53.8,42.7,64.4
Enterobacter spp. R to ES cephalosporins,National,CAUTI,All Years, 1-18,136,50,36.8,28.9,45.1
Enterobacter spp. R to ES cephalosporins,National,CAUTI,All Years,19-64,2450,812,33.1,31.2,35
Enterobacter spp. R to ES cephalosporins,National,CAUTI,All Years,65+,2601,854,32.8,31,34.6
Enterobacter spp. R to ES cephalosporins,National,CAUTI,All Years,All Ages,5267,1759,33.4,32.1,34.6
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2011,<1,171,52,30.4,23.8,37.6
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2011, 1-18,65,22,33.8,23.1,45.9
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2011,19-64,417,127,30.5,26.1,35
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2011,65+,282,99,35.1,29.6,40.8
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2011,All Ages,935,300,32.1,29.1,35.1
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2012,<1,125,37,29.6,22,38
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2012, 1-18,70,20,28.6,18.9,39.9
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2012,19-64,461,147,31.9,27.7,36.2
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2012,65+,287,100,34.8,29.4,40.4
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2012,All Ages,943,304,32.2,29.3,35.2
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2013,<1,128,31,24.2,17.3,32.2
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2013, 1-18,71,26,36.6,26,48.2
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2013,19-64,504,162,32.1,28.1,36.3
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2013,65+,313,110,35.1,30,40.5
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2013,All Ages,1016,329,32.4,29.5,35.3
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2014,<1,111,25,22.5,15.4,30.9
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2014, 1-18,83,36,43.4,33,54.1
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2014,19-64,497,139,28,24.1,32
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2014,65+,269,97,36.1,30.4,41.9
Enterobacter spp. R to ES cephalosporins,National,CLABSI,2014,All Ages,960,297,30.9,28,33.9
Enterobacter spp. R to ES cephalosporins,National,CLABSI,All Years,<1,535,145,27.1,23.4,30.9
Enterobacter spp. R to ES cephalosporins,National,CLABSI,All Years, 1-18,289,104,36,30.6,41.6
Enterobacter spp. R to ES cephalosporins,National,CLABSI,All Years,19-64,1879,575,30.6,28.5,32.7
Enterobacter spp. R to ES cephalosporins,National,CLABSI,All Years,65+,1151,406,35.3,32.5,38
Enterobacter spp. R to ES cephalosporins,National,CLABSI,All Years,All Ages,3854,1230,31.9,30.4,33.3
Enterobacter spp. R to ES cephalosporins,National,SSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to ES cephalosporins,National,SSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to ES cephalosporins,National,SSI,2011,19-64,410,77,18.8,15.2,22.7
Enterobacter spp. R to ES cephalosporins,National,SSI,2011,65+,357,94,26.3,21.9,31
Enterobacter spp. R to ES cephalosporins,National,SSI,2011,All Ages,800,177,22.1,19.3,25.1
Enterobacter spp. R to ES cephalosporins,National,SSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to ES cephalosporins,National,SSI,2012, 1-18,29,7,24.1,11.2,42
Enterobacter spp. R to ES cephalosporins,National,SSI,2012,19-64,868,167,19.2,16.7,21.9
Enterobacter spp. R to ES cephalosporins,National,SSI,2012,65+,699,164,23.5,20.4,26.7
Enterobacter spp. R to ES cephalosporins,National,SSI,2012,All Ages,1612,344,21.3,19.3,23.3
Enterobacter spp. R to ES cephalosporins,National,SSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to ES cephalosporins,National,SSI,2013, 1-18,42,11,26.2,14.6,40.9
Enterobacter spp. R to ES cephalosporins,National,SSI,2013,19-64,1004,217,21.6,19.1,24.2
Enterobacter spp. R to ES cephalosporins,National,SSI,2013,65+,723,180,24.9,21.8,28.1
Enterobacter spp. R to ES cephalosporins,National,SSI,2013,All Ages,1788,410,22.9,21,24.9
Enterobacter spp. R to ES cephalosporins,National,SSI,2014,<1,22,11,50,29.7,70.2
Enterobacter spp. R to ES cephalosporins,National,SSI,2014, 1-18,33,8,24.2,11.9,40.8
Enterobacter spp. R to ES cephalosporins,National,SSI,2014,19-64,1092,217,19.9,17.5,22.3
Enterobacter spp. R to ES cephalosporins,National,SSI,2014,65+,785,186,23.7,20.8,26.7
Enterobacter spp. R to ES cephalosporins,National,SSI,2014,All Ages,1932,422,21.8,20,23.7
Enterobacter spp. R to ES cephalosporins,National,SSI,All Years,<1,72,24,33.3,23.1,44.7
Enterobacter spp. R to ES cephalosporins,National,SSI,All Years, 1-18,122,27,22.1,15.4,30.1
Enterobacter spp. R to ES cephalosporins,National,SSI,All Years,19-64,3374,678,20.1,18.7,21.4
Enterobacter spp. R to ES cephalosporins,National,SSI,All Years,65+,2564,624,24.3,22.7,26
Enterobacter spp. R to ES cephalosporins,National,SSI,All Years,All Ages,6132,1353,22.1,21,23.1
Klebsiella spp. MDR,National,All HAIs,2011,<1,253,1,0.4,0,1.9
Klebsiella spp. MDR,National,All HAIs,2011, 1-18,145,6,4.1,1.6,8.4
Klebsiella spp. MDR,National,All HAIs,2011,19-64,1951,310,15.9,14.3,17.5
Klebsiella spp. MDR,National,All HAIs,2011,65+,1893,349,18.4,16.7,20.2
Klebsiella spp. MDR,National,All HAIs,2011,All Ages,4242,666,15.7,14.6,16.8
Klebsiella spp. MDR,National,All HAIs,2012,<1,246,13,5.3,2.9,8.6
Klebsiella spp. MDR,National,All HAIs,2012, 1-18,162,8,4.9,2.3,9.1
Klebsiella spp. MDR,National,All HAIs,2012,19-64,3456,497,14.4,13.2,15.5
Klebsiella spp. MDR,National,All HAIs,2012,65+,3448,498,14.4,13.2,15.6
Klebsiella spp. MDR,National,All HAIs,2012,All Ages,7312,1016,13.9,13.1,14.7
Klebsiella spp. MDR,National,All HAIs,2013,<1,196,10,5.1,2.6,8.9
Klebsiella spp. MDR,National,All HAIs,2013, 1-18,204,19,9.3,5.8,13.9
Klebsiella spp. MDR,National,All HAIs,2013,19-64,3956,556,14.1,12.9,15.1
Klebsiella spp. MDR,National,All HAIs,2013,65+,3739,637,17,15.8,18.2
Klebsiella spp. MDR,National,All HAIs,2013,All Ages,8095,1222,15.1,14.3,15.8
Klebsiella spp. MDR,National,All HAIs,2014,<1,241,7,2.9,1.2,5.6
Klebsiella spp. MDR,National,All HAIs,2014, 1-18,242,22,9.1,5.9,13.2
Klebsiella spp. MDR,National,All HAIs,2014,19-64,4188,533,12.7,11.7,13.7
Klebsiella spp. MDR,National,All HAIs,2014,65+,3939,538,13.7,12.6,14.7
Klebsiella spp. MDR,National,All HAIs,2014,All Ages,8610,1100,12.8,12,13.4
Klebsiella spp. MDR,National,All HAIs,All Years,<1,936,31,3.3,2.3,4.6
Klebsiella spp. MDR,National,All HAIs,All Years, 1-18,753,55,7.3,5.6,9.3
Klebsiella spp. MDR,National,All HAIs,All Years,19-64,13551,1896,14,13.4,14.5
Klebsiella spp. MDR,National,All HAIs,All Years,65+,13019,2022,15.5,14.9,16.1
Klebsiella spp. MDR,National,All HAIs,All Years,All Ages,28259,4004,14.2,13.7,14.5
Klebsiella spp. MDR,National,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Klebsiella spp. MDR,National,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Klebsiella spp. MDR,National,CAUTI,2011,19-64,802,127,15.8,13.4,18.4
Klebsiella spp. MDR,National,CAUTI,2011,65+,1015,146,14.4,12.3,16.6
Klebsiella spp. MDR,National,CAUTI,2011,All Ages,1843,275,14.9,13.3,16.6
Klebsiella spp. MDR,National,CAUTI,2012,<1,26,2,7.7,1.3,23.1
Klebsiella spp. MDR,National,CAUTI,2012, 1-18,35,2,5.7,0.9,17.6
Klebsiella spp. MDR,National,CAUTI,2012,19-64,1648,281,17.1,15.2,18.9
Klebsiella spp. MDR,National,CAUTI,2012,65+,2131,290,13.6,12.2,15.1
Klebsiella spp. MDR,National,CAUTI,2012,All Ages,3840,575,15,13.8,16.1
Klebsiella spp. MDR,National,CAUTI,2013,<1,24,1,4.2,0.2,18.8
Klebsiella spp. MDR,National,CAUTI,2013, 1-18,47,3,6.4,1.6,16.3
Klebsiella spp. MDR,National,CAUTI,2013,19-64,1931,321,16.6,15,18.3
Klebsiella spp. MDR,National,CAUTI,2013,65+,2268,413,18.2,16.6,19.8
Klebsiella spp. MDR,National,CAUTI,2013,All Ages,4270,738,17.3,16.1,18.4
Klebsiella spp. MDR,National,CAUTI,2014,<1,20,2,10,1.7,29.2
Klebsiella spp. MDR,National,CAUTI,2014, 1-18,53,2,3.8,0.6,11.9
Klebsiella spp. MDR,National,CAUTI,2014,19-64,1996,304,15.2,13.7,16.8
Klebsiella spp. MDR,National,CAUTI,2014,65+,2350,341,14.5,13.1,15.9
Klebsiella spp. MDR,National,CAUTI,2014,All Ages,4419,649,14.7,13.6,15.7
Klebsiella spp. MDR,National,CAUTI,All Years,<1,81,6,7.4,3,14.7
Klebsiella spp. MDR,National,CAUTI,All Years, 1-18,150,8,5.3,2.5,9.8
Klebsiella spp. MDR,National,CAUTI,All Years,19-64,6377,1033,16.2,15.3,17.1
Klebsiella spp. MDR,National,CAUTI,All Years,65+,7764,1190,15.3,14.5,16.1
Klebsiella spp. MDR,National,CAUTI,All Years,All Ages,14372,2237,15.6,14.9,16.1
Klebsiella spp. MDR,National,CLABSI,2011,<1,236,0,0,0,1.2
Klebsiella spp. MDR,National,CLABSI,2011, 1-18,121,5,4.1,1.5,8.9
Klebsiella spp. MDR,National,CLABSI,2011,19-64,745,162,21.7,18.8,24.8
Klebsiella spp. MDR,National,CLABSI,2011,65+,573,182,31.8,28,35.6
Klebsiella spp. MDR,National,CLABSI,2011,All Ages,1675,349,20.8,18.9,22.8
Klebsiella spp. MDR,National,CLABSI,2012,<1,214,11,5.1,2.7,8.7
Klebsiella spp. MDR,National,CLABSI,2012, 1-18,109,5,4.6,1.6,9.8
Klebsiella spp. MDR,National,CLABSI,2012,19-64,845,183,21.7,18.9,24.5
Klebsiella spp. MDR,National,CLABSI,2012,65+,616,163,26.5,23,30
Klebsiella spp. MDR,National,CLABSI,2012,All Ages,1784,362,20.3,18.4,22.2
Klebsiella spp. MDR,National,CLABSI,2013,<1,166,8,4.8,2.2,8.9
Klebsiella spp. MDR,National,CLABSI,2013, 1-18,124,15,12.1,7.1,18.7
Klebsiella spp. MDR,National,CLABSI,2013,19-64,932,193,20.7,18.1,23.4
Klebsiella spp. MDR,National,CLABSI,2013,65+,709,184,26,22.8,29.2
Klebsiella spp. MDR,National,CLABSI,2013,All Ages,1931,400,20.7,18.9,22.5
Klebsiella spp. MDR,National,CLABSI,2014,<1,208,4,1.9,0.6,4.5
Klebsiella spp. MDR,National,CLABSI,2014, 1-18,158,20,12.7,8.1,18.5
Klebsiella spp. MDR,National,CLABSI,2014,19-64,992,171,17.2,14.9,19.6
Klebsiella spp. MDR,National,CLABSI,2014,65+,681,156,22.9,19.8,26.1
Klebsiella spp. MDR,National,CLABSI,2014,All Ages,2039,351,17.2,15.6,18.8
Klebsiella spp. MDR,National,CLABSI,All Years,<1,824,23,2.8,1.8,4
Klebsiella spp. MDR,National,CLABSI,All Years, 1-18,512,45,8.8,6.5,11.4
Klebsiella spp. MDR,National,CLABSI,All Years,19-64,3514,709,20.2,18.8,21.5
Klebsiella spp. MDR,National,CLABSI,All Years,65+,2579,685,26.6,24.8,28.2
Klebsiella spp. MDR,National,CLABSI,All Years,All Ages,7429,1462,19.7,18.7,20.5
Klebsiella spp. MDR,National,SSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Klebsiella spp. MDR,National,SSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Klebsiella spp. MDR,National,SSI,2011,19-64,404,21,5.2,3.3,7.7
Klebsiella spp. MDR,National,SSI,2011,65+,305,21,6.9,4.4,10.1
Klebsiella spp. MDR,National,SSI,2011,All Ages,724,42,5.8,4.2,7.6
Klebsiella spp. MDR,National,SSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Klebsiella spp. MDR,National,SSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Klebsiella spp. MDR,National,SSI,2012,19-64,963,33,3.4,2.4,4.7
Klebsiella spp. MDR,National,SSI,2012,65+,701,45,6.4,4.7,8.4
Klebsiella spp. MDR,National,SSI,2012,All Ages,1688,79,4.7,3.7,5.7
Klebsiella spp. MDR,National,SSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Klebsiella spp. MDR,National,SSI,2013, 1-18,33,1,3,0.1,14
Klebsiella spp. MDR,National,SSI,2013,19-64,1093,42,3.8,2.8,5.1
Klebsiella spp. MDR,National,SSI,2013,65+,762,40,5.2,3.8,7
Klebsiella spp. MDR,National,SSI,2013,All Ages,1894,84,4.4,3.5,5.4
Klebsiella spp. MDR,National,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Klebsiella spp. MDR,National,SSI,2014, 1-18,31,0,0,0,9.2
Klebsiella spp. MDR,National,SSI,2014,19-64,1200,58,4.8,3.7,6.1
Klebsiella spp. MDR,National,SSI,2014,65+,908,41,4.5,3.3,6
Klebsiella spp. MDR,National,SSI,2014,All Ages,2152,100,4.6,3.8,5.5
Klebsiella spp. MDR,National,SSI,All Years,<1,31,2,6.5,1,19.7
Klebsiella spp. MDR,National,SSI,All Years, 1-18,91,2,2.2,0.3,7
Klebsiella spp. MDR,National,SSI,All Years,19-64,3660,154,4.2,3.5,4.8
Klebsiella spp. MDR,National,SSI,All Years,65+,2676,147,5.5,4.6,6.4
Klebsiella spp. MDR,National,SSI,All Years,All Ages,6458,305,4.7,4.2,5.2
Klebsiella spp. R to carbapenems,National,All HAIs,2011,<1,233,1,0.4,0,2
Klebsiella spp. R to carbapenems,National,All HAIs,2011, 1-18,131,5,3.8,1.4,8.2
Klebsiella spp. R to carbapenems,National,All HAIs,2011,19-64,1572,144,9.2,7.8,10.6
Klebsiella spp. R to carbapenems,National,All HAIs,2011,65+,1535,189,12.3,10.7,14
Klebsiella spp. R to carbapenems,National,All HAIs,2011,All Ages,3471,339,9.8,8.8,10.7
Klebsiella spp. R to carbapenems,National,All HAIs,2012,<1,211,4,1.9,0.6,4.5
Klebsiella spp. R to carbapenems,National,All HAIs,2012, 1-18,144,2,1.4,0.2,4.5
Klebsiella spp. R to carbapenems,National,All HAIs,2012,19-64,2859,258,9,8,10.1
Klebsiella spp. R to carbapenems,National,All HAIs,2012,65+,2863,239,8.3,7.3,9.4
Klebsiella spp. R to carbapenems,National,All HAIs,2012,All Ages,6077,503,8.3,7.6,8.9
Klebsiella spp. R to carbapenems,National,All HAIs,2013,<1,148,2,1.4,0.2,4.3
Klebsiella spp. R to carbapenems,National,All HAIs,2013, 1-18,159,7,4.4,1.9,8.5
Klebsiella spp. R to carbapenems,National,All HAIs,2013,19-64,3193,272,8.5,7.5,9.5
Klebsiella spp. R to carbapenems,National,All HAIs,2013,65+,3037,339,11.2,10,12.3
Klebsiella spp. R to carbapenems,National,All HAIs,2013,All Ages,6537,620,9.5,8.7,10.2
Klebsiella spp. R to carbapenems,National,All HAIs,2014,<1,190,1,0.5,0,2.5
Klebsiella spp. R to carbapenems,National,All HAIs,2014, 1-18,210,6,2.9,1.1,5.8
Klebsiella spp. R to carbapenems,National,All HAIs,2014,19-64,3331,264,7.9,7,8.8
Klebsiella spp. R to carbapenems,National,All HAIs,2014,65+,3138,271,8.6,7.6,9.6
Klebsiella spp. R to carbapenems,National,All HAIs,2014,All Ages,6869,542,7.9,7.2,8.5
Klebsiella spp. R to carbapenems,National,All HAIs,All Years,<1,782,8,1,0.4,1.9
Klebsiella spp. R to carbapenems,National,All HAIs,All Years, 1-18,644,20,3.1,1.9,4.6
Klebsiella spp. R to carbapenems,National,All HAIs,All Years,19-64,10955,938,8.6,8,9
Klebsiella spp. R to carbapenems,National,All HAIs,All Years,65+,10573,1038,9.8,9.2,10.3
Klebsiella spp. R to carbapenems,National,All HAIs,All Years,All Ages,22954,2004,8.7,8.3,9.1
Klebsiella spp. R to carbapenems,National,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Klebsiella spp. R to carbapenems,National,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Klebsiella spp. R to carbapenems,National,CAUTI,2011,19-64,621,73,11.8,9.3,14.4
Klebsiella spp. R to carbapenems,National,CAUTI,2011,65+,813,85,10.5,8.4,12.7
Klebsiella spp. R to carbapenems,National,CAUTI,2011,All Ages,1451,158,10.9,9.3,12.5
Klebsiella spp. R to carbapenems,National,CAUTI,2012,<1,23,0,0,0,12.2
Klebsiella spp. R to carbapenems,National,CAUTI,2012, 1-18,26,1,3.8,0.1,17.5
Klebsiella spp. R to carbapenems,National,CAUTI,2012,19-64,1368,141,10.3,8.7,12
Klebsiella spp. R to carbapenems,National,CAUTI,2012,65+,1746,127,7.3,6.1,8.5
Klebsiella spp. R to carbapenems,National,CAUTI,2012,All Ages,3163,269,8.5,7.5,9.5
Klebsiella spp. R to carbapenems,National,CAUTI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Klebsiella spp. R to carbapenems,National,CAUTI,2013, 1-18,28,1,3.6,0.1,16.3
Klebsiella spp. R to carbapenems,National,CAUTI,2013,19-64,1552,144,9.3,7.9,10.7
Klebsiella spp. R to carbapenems,National,CAUTI,2013,65+,1842,213,11.6,10.1,13
Klebsiella spp. R to carbapenems,National,CAUTI,2013,All Ages,3440,358,10.4,9.4,11.4
Klebsiella spp. R to carbapenems,National,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Klebsiella spp. R to carbapenems,National,CAUTI,2014, 1-18,43,1,2.3,0.1,10.9
Klebsiella spp. R to carbapenems,National,CAUTI,2014,19-64,1570,151,9.6,8.2,11.1
Klebsiella spp. R to carbapenems,National,CAUTI,2014,65+,1867,171,9.2,7.9,10.5
Klebsiella spp. R to carbapenems,National,CAUTI,2014,All Ages,3492,324,9.3,8.3,10.2
Klebsiella spp. R to carbapenems,National,CAUTI,All Years,<1,60,1,1.7,0,7.9
Klebsiella spp. R to carbapenems,National,CAUTI,All Years, 1-18,107,3,2.8,0.7,7.4
Klebsiella spp. R to carbapenems,National,CAUTI,All Years,19-64,5111,509,10,9.1,10.8
Klebsiella spp. R to carbapenems,National,CAUTI,All Years,65+,6268,596,9.5,8.8,10.2
Klebsiella spp. R to carbapenems,National,CAUTI,All Years,All Ages,11546,1109,9.6,9,10.1
Klebsiella spp. R to carbapenems,National,CLABSI,2011,<1,221,1,0.5,0,2.2
Klebsiella spp. R to carbapenems,National,CLABSI,2011, 1-18,112,5,4.5,1.6,9.6
Klebsiella spp. R to carbapenems,National,CLABSI,2011,19-64,639,63,9.9,7.7,12.3
Klebsiella spp. R to carbapenems,National,CLABSI,2011,65+,499,92,18.4,15.2,22
Klebsiella spp. R to carbapenems,National,CLABSI,2011,All Ages,1471,161,10.9,9.4,12.6
Klebsiella spp. R to carbapenems,National,CLABSI,2012,<1,183,4,2.2,0.6,5.1
Klebsiella spp. R to carbapenems,National,CLABSI,2012, 1-18,102,0,0,0,2.8
