Phenotype,Region,EventType,EventYear,AgeCategory,NumberTested,NumberResistant,PercentResistant,Lower95CI,Upper95CI
Enterobacter spp. MDR,West_North_Central,All HAIs,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,All HAIs,2011,19-64,30,3,10,2.6,24.8
Enterobacter spp. MDR,West_North_Central,All HAIs,2011,65+,31,3,9.7,2.5,24.1
Enterobacter spp. MDR,West_North_Central,All HAIs,2011,All Ages,77,6,7.8,3.2,15.4
Enterobacter spp. MDR,West_North_Central,All HAIs,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,All HAIs,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,All HAIs,2012,19-64,109,4,3.7,1.1,8.6
Enterobacter spp. MDR,West_North_Central,All HAIs,2012,65+,87,3,3.4,0.8,9
Enterobacter spp. MDR,West_North_Central,All HAIs,2012,All Ages,216,7,3.2,1.4,6.3
Enterobacter spp. MDR,West_North_Central,All HAIs,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,All HAIs,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,All HAIs,2013,19-64,112,15,13.4,7.9,20.6
Enterobacter spp. MDR,West_North_Central,All HAIs,2013,65+,95,8,8.4,3.9,15.3
Enterobacter spp. MDR,West_North_Central,All HAIs,2013,All Ages,218,23,10.6,6.9,15.1
Enterobacter spp. MDR,West_North_Central,All HAIs,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,All HAIs,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,All HAIs,2014,19-64,155,6,3.9,1.5,7.8
Enterobacter spp. MDR,West_North_Central,All HAIs,2014,65+,106,8,7.5,3.5,13.8
Enterobacter spp. MDR,West_North_Central,All HAIs,2014,All Ages,281,16,5.7,3.4,8.8
Enterobacter spp. MDR,West_North_Central,All HAIs,All Years,<1,40,1,2.5,0.1,11.7
Enterobacter spp. MDR,West_North_Central,All HAIs,All Years, 1-18,27,1,3.7,0.1,16.9
Enterobacter spp. MDR,West_North_Central,All HAIs,All Years,19-64,406,28,6.9,4.7,9.6
Enterobacter spp. MDR,West_North_Central,All HAIs,All Years,65+,319,22,6.9,4.4,10
Enterobacter spp. MDR,West_North_Central,All HAIs,All Years,All Ages,792,52,6.6,4.9,8.4
Enterobacter spp. MDR,West_North_Central,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CAUTI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CAUTI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CAUTI,2011,All Ages,31,2,6.5,1,19.7
Enterobacter spp. MDR,West_North_Central,CAUTI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CAUTI,2012,19-64,34,3,8.8,2.2,22.1
Enterobacter spp. MDR,West_North_Central,CAUTI,2012,65+,41,2,4.9,0.8,15.1
Enterobacter spp. MDR,West_North_Central,CAUTI,2012,All Ages,82,5,6.1,2.2,12.9
Enterobacter spp. MDR,West_North_Central,CAUTI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CAUTI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CAUTI,2013,19-64,49,10,20.4,10.8,33.3
Enterobacter spp. MDR,West_North_Central,CAUTI,2013,65+,48,5,10.4,3.9,21.5
Enterobacter spp. MDR,West_North_Central,CAUTI,2013,All Ages,102,15,14.7,8.7,22.5
Enterobacter spp. MDR,West_North_Central,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CAUTI,2014,19-64,57,4,7,2.2,16
Enterobacter spp. MDR,West_North_Central,CAUTI,2014,65+,43,7,16.3,7.4,29.5
Enterobacter spp. MDR,West_North_Central,CAUTI,2014,All Ages,109,13,11.9,6.7,19
Enterobacter spp. MDR,West_North_Central,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CAUTI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CAUTI,All Years,19-64,152,17,11.2,6.8,16.9
Enterobacter spp. MDR,West_North_Central,CAUTI,All Years,65+,148,16,10.8,6.5,16.6
Enterobacter spp. MDR,West_North_Central,CAUTI,All Years,All Ages,324,35,10.8,7.7,14.5
Enterobacter spp. MDR,West_North_Central,CLABSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2011,All Ages,34,3,8.8,2.2,22.1
Enterobacter spp. MDR,West_North_Central,CLABSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2012,19-64,27,0,0,0,10.5
Enterobacter spp. MDR,West_North_Central,CLABSI,2012,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2012,All Ages,49,0,0,0,5.9
Enterobacter spp. MDR,West_North_Central,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2013, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Enterobacter spp. MDR,West_North_Central,CLABSI,2013,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2013,All Ages,20,2,10,1.7,29.2
Enterobacter spp. MDR,West_North_Central,CLABSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2014,19-64,27,1,3.7,0.1,16.9
Enterobacter spp. MDR,West_North_Central,CLABSI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,2014,All Ages,50,1,2,0.1,9.4
Enterobacter spp. MDR,West_North_Central,CLABSI,All Years,<1,26,0,0,0,10.8
Enterobacter spp. MDR,West_North_Central,CLABSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,CLABSI,All Years,19-64,75,5,6.7,2.4,14.1
Enterobacter spp. MDR,West_North_Central,CLABSI,All Years,65+,43,1,2.3,0.1,10.9
Enterobacter spp. MDR,West_North_Central,CLABSI,All Years,All Ages,153,6,3.9,1.6,7.9
Enterobacter spp. MDR,West_North_Central,SSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,SSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Enterobacter spp. MDR,West_North_Central,SSI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,SSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,SSI,2011,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,SSI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Enterobacter spp. MDR,West_North_Central,SSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,SSI,2012,19-64,48,1,2.1,0.1,9.8
Enterobacter spp. MDR,West_North_Central,SSI,2012,65+,36,1,2.8,0.1,12.9
Enterobacter spp. MDR,West_North_Central,SSI,2012,All Ages,85,2,2.4,0.3,7.5
Enterobacter spp. MDR,West_North_Central,SSI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Enterobacter spp. MDR,West_North_Central,SSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,SSI,2013,19-64,53,3,5.7,1.4,14.6
Enterobacter spp. MDR,West_North_Central,SSI,2013,65+,40,3,7.5,1.9,19
Enterobacter spp. MDR,West_North_Central,SSI,2013,All Ages,96,6,6.3,2.5,12.5
Enterobacter spp. MDR,West_North_Central,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,SSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,SSI,2014,19-64,71,1,1.4,0,6.7
Enterobacter spp. MDR,West_North_Central,SSI,2014,65+,48,1,2.1,0.1,9.8
Enterobacter spp. MDR,West_North_Central,SSI,2014,All Ages,122,2,1.6,0.2,5.3
Enterobacter spp. MDR,West_North_Central,SSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,SSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_North_Central,SSI,All Years,19-64,179,6,3.4,1.3,6.8
Enterobacter spp. MDR,West_North_Central,SSI,All Years,65+,128,5,3.9,1.4,8.4
Enterobacter spp. MDR,West_North_Central,SSI,All Years,All Ages,315,11,3.5,1.8,5.9
Enterobacter spp. MDR,West_South_Central,All HAIs,2011,<1,35,2,5.7,0.9,17.6
Enterobacter spp. MDR,West_South_Central,All HAIs,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,All HAIs,2011,19-64,68,6,8.8,3.6,17.4
Enterobacter spp. MDR,West_South_Central,All HAIs,2011,65+,43,6,14,5.8,26.7
Enterobacter spp. MDR,West_South_Central,All HAIs,2011,All Ages,152,14,9.2,5.3,14.6
Enterobacter spp. MDR,West_South_Central,All HAIs,2012,<1,29,1,3.4,0.1,15.8
Enterobacter spp. MDR,West_South_Central,All HAIs,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,All HAIs,2012,19-64,223,14,6.3,3.6,10
Enterobacter spp. MDR,West_South_Central,All HAIs,2012,65+,192,14,7.3,4.2,11.6
Enterobacter spp. MDR,West_South_Central,All HAIs,2012,All Ages,454,31,6.8,4.7,9.4
Enterobacter spp. MDR,West_South_Central,All HAIs,2013,<1,28,0,0,0,10.1
Enterobacter spp. MDR,West_South_Central,All HAIs,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,All HAIs,2013,19-64,252,26,10.3,6.9,14.5
Enterobacter spp. MDR,West_South_Central,All HAIs,2013,65+,239,23,9.6,6.3,13.8
Enterobacter spp. MDR,West_South_Central,All HAIs,2013,All Ages,535,52,9.7,7.4,12.4
Enterobacter spp. MDR,West_South_Central,All HAIs,2014,<1,21,0,0,0,13.2
Enterobacter spp. MDR,West_South_Central,All HAIs,2014, 1-18,28,1,3.6,0.1,16.3
Enterobacter spp. MDR,West_South_Central,All HAIs,2014,19-64,251,20,8,5,11.8
Enterobacter spp. MDR,West_South_Central,All HAIs,2014,65+,202,21,10.4,6.7,15.1
Enterobacter spp. MDR,West_South_Central,All HAIs,2014,All Ages,502,42,8.4,6.1,11
Enterobacter spp. MDR,West_South_Central,All HAIs,All Years,<1,113,3,2.7,0.6,7
Enterobacter spp. MDR,West_South_Central,All HAIs,All Years, 1-18,60,6,10,4.1,19.6
Enterobacter spp. MDR,West_South_Central,All HAIs,All Years,19-64,794,66,8.3,6.5,10.3
Enterobacter spp. MDR,West_South_Central,All HAIs,All Years,65+,676,64,9.5,7.4,11.8
Enterobacter spp. MDR,West_South_Central,All HAIs,All Years,All Ages,1643,139,8.5,7.1,9.8
Enterobacter spp. MDR,West_South_Central,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CAUTI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Enterobacter spp. MDR,West_South_Central,CAUTI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CAUTI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CAUTI,2011,All Ages,29,3,10.3,2.6,25.6
Enterobacter spp. MDR,West_South_Central,CAUTI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CAUTI,2012,19-64,60,5,8.3,3.1,17.5
Enterobacter spp. MDR,West_South_Central,CAUTI,2012,65+,98,9,9.2,4.5,16.1
Enterobacter spp. MDR,West_South_Central,CAUTI,2012,All Ages,166,16,9.6,5.8,14.8
Enterobacter spp. MDR,West_South_Central,CAUTI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CAUTI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CAUTI,2013,19-64,89,8,9,4.2,16.3
Enterobacter spp. MDR,West_South_Central,CAUTI,2013,65+,108,12,11.1,6.1,18.1
Enterobacter spp. MDR,West_South_Central,CAUTI,2013,All Ages,205,21,10.2,6.6,14.9
Enterobacter spp. MDR,West_South_Central,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CAUTI,2014,19-64,82,10,12.2,6.3,20.6
Enterobacter spp. MDR,West_South_Central,CAUTI,2014,65+,74,9,12.2,6,21.1
Enterobacter spp. MDR,West_South_Central,CAUTI,2014,All Ages,169,20,11.8,7.5,17.3
Enterobacter spp. MDR,West_South_Central,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CAUTI,All Years, 1-18,22,4,18.2,6,38.2
Enterobacter spp. MDR,West_South_Central,CAUTI,All Years,19-64,246,25,10.2,6.8,14.4
Enterobacter spp. MDR,West_South_Central,CAUTI,All Years,65+,291,31,10.7,7.4,14.6
Enterobacter spp. MDR,West_South_Central,CAUTI,All Years,All Ages,569,60,10.5,8.2,13.2
Enterobacter spp. MDR,West_South_Central,CLABSI,2011,<1,32,2,6.3,1,19.1
Enterobacter spp. MDR,West_South_Central,CLABSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CLABSI,2011,19-64,39,4,10.3,3.3,22.9
Enterobacter spp. MDR,West_South_Central,CLABSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CLABSI,2011,All Ages,94,11,11.7,6.3,19.4
Enterobacter spp. MDR,West_South_Central,CLABSI,2012,<1,22,1,4.5,0.2,20.4
Enterobacter spp. MDR,West_South_Central,CLABSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CLABSI,2012,19-64,54,7,13,5.8,23.9
Enterobacter spp. MDR,West_South_Central,CLABSI,2012,65+,32,4,12.5,4.1,27.4
Enterobacter spp. MDR,West_South_Central,CLABSI,2012,All Ages,113,12,10.6,5.8,17.3
Enterobacter spp. MDR,West_South_Central,CLABSI,2013,<1,23,0,0,0,12.2
Enterobacter spp. MDR,West_South_Central,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CLABSI,2013,19-64,67,12,17.9,10,28.4
Enterobacter spp. MDR,West_South_Central,CLABSI,2013,65+,48,7,14.6,6.6,26.7
Enterobacter spp. MDR,West_South_Central,CLABSI,2013,All Ages,147,21,14.3,9.3,20.6
Enterobacter spp. MDR,West_South_Central,CLABSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,CLABSI,2014,19-64,71,5,7,2.6,14.9
Enterobacter spp. MDR,West_South_Central,CLABSI,2014,65+,58,8,13.8,6.6,24.5
Enterobacter spp. MDR,West_South_Central,CLABSI,2014,All Ages,160,13,8.1,4.5,13.1
Enterobacter spp. MDR,West_South_Central,CLABSI,All Years,<1,96,3,3.1,0.8,8.2
Enterobacter spp. MDR,West_South_Central,CLABSI,All Years, 1-18,30,2,6.7,1.1,20.3
Enterobacter spp. MDR,West_South_Central,CLABSI,All Years,19-64,231,28,12.1,8.3,16.8
Enterobacter spp. MDR,West_South_Central,CLABSI,All Years,65+,157,24,15.3,10.2,21.5
Enterobacter spp. MDR,West_South_Central,CLABSI,All Years,All Ages,514,57,11.1,8.5,14
Enterobacter spp. MDR,West_South_Central,SSI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Enterobacter spp. MDR,West_South_Central,SSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,SSI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,SSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,SSI,2011,All Ages,29,0,0,0,9.8
Enterobacter spp. MDR,West_South_Central,SSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,SSI,2012, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Enterobacter spp. MDR,West_South_Central,SSI,2012,19-64,109,2,1.8,0.3,5.9
Enterobacter spp. MDR,West_South_Central,SSI,2012,65+,62,1,1.6,0,7.6
Enterobacter spp. MDR,West_South_Central,SSI,2012,All Ages,175,3,1.7,0.4,4.5
Enterobacter spp. MDR,West_South_Central,SSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,SSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,SSI,2013,19-64,96,6,6.3,2.5,12.5
Enterobacter spp. MDR,West_South_Central,SSI,2013,65+,83,4,4.8,1.5,11.2
Enterobacter spp. MDR,West_South_Central,SSI,2013,All Ages,183,10,5.5,2.8,9.5
Enterobacter spp. MDR,West_South_Central,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,SSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,SSI,2014,19-64,98,5,5.1,1.8,10.9
Enterobacter spp. MDR,West_South_Central,SSI,2014,65+,70,4,5.7,1.8,13.2
Enterobacter spp. MDR,West_South_Central,SSI,2014,All Ages,173,9,5.2,2.5,9.3
Enterobacter spp. MDR,West_South_Central,SSI,All Years,19-64,317,13,4.1,2.2,6.7
Enterobacter spp. MDR,West_South_Central,SSI,All Years,65+,228,9,3.9,1.9,7.1
Enterobacter spp. MDR,West_South_Central,SSI,All Years,All Ages,560,22,3.9,2.5,5.7
Enterobacter spp. MDR,West_South_Central,SSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. MDR,West_South_Central,SSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2011,<1,23,1,4.3,0.2,19.6
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2011,19-64,104,3,2.9,0.7,7.6
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2011,65+,100,2,2,0.3,6.4
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2011,All Ages,237,6,2.5,1,5.1
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2012,19-64,235,5,2.1,0.7,4.6
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2012,65+,203,2,1,0.1,3.2
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2012,All Ages,465,8,1.7,0.8,3.2
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2013,<1,27,1,3.7,0.1,16.9
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2013,19-64,275,12,4.4,2.3,7.3
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2013,65+,228,12,5.3,2.8,8.7
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2013,All Ages,541,25,4.6,3,6.6
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2014, 1-18,31,0,0,0,9.2
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2014,19-64,245,6,2.4,0.9,5
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2014,65+,203,9,4.4,2.1,7.9
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,2014,All Ages,498,16,3.2,1.9,5
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,All Years,<1,79,3,3.8,0.9,9.9
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,All Years, 1-18,69,1,1.4,0,6.9
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,All Years,19-64,859,26,3,2,4.3
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,All Years,65+,734,25,3.4,2.2,4.9
Enterobacter spp. R to carbapenems,East_North_Central,All HAIs,All Years,All Ages,1741,55,3.2,2.4,4
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2011,19-64,42,2,4.8,0.8,14.8
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2011,65+,44,2,4.5,0.7,14.2
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2011,All Ages,88,5,5.7,2.1,12.1
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2012,19-64,75,3,4,1,10.4
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2012,65+,91,2,2.2,0.3,7
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2012,All Ages,169,5,3,1,6.4
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2013,19-64,89,5,5.6,2,12
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2013,65+,96,5,5.2,1.9,11.1
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2013,All Ages,189,10,5.3,2.7,9.2
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2014,19-64,77,3,3.9,1,10.2
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2014,65+,89,5,5.6,2,12
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,2014,All Ages,175,8,4.6,2.1,8.4
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
Enterobacter spp. R to carbapenems,East_North_Central,CAUTI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
